userid	genesymbol	genename	entrezgene
ENSDARG00000078585	mon1a	MON1 secretory trafficking family member A	100073333
ENSDARG00000056410	fdx1	ferredoxin 1	100126232
ENSDARG00000016773	cishb	cytokine inducible SH2-containing protein b	100136861
ENSDARG00000053456	zgc:172295	zgc:172295	100136866
ENSDARG00000103914	si:ch73-52e5.2	si:ch73-52e5.2	100142654
ENSDARG00000059360	srsf3b	serine/arginine-rich splicing factor 3b	100145909
ENSDARG00000000606	dnah7l	dynein, axonemal, heavy polypeptide 7 like	100148193
ENSDARG00000009390	npl	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	100148292
ENSDARG00000069397	zswim8	zinc finger, SWIM-type containing 8	100148379
ENSDARG00000042090	si:ch73-55i23.1	si:ch73-55i23.1	100148818
ENSDARG00000089463	dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58	100148871
ENSDARG00000061976	sema6bb	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6Bb	100148883
ENSDARG00000087327	cbx8a	chromobox homolog 8a (Pc class homolog, Drosophila)	100150672
ENSDARG00000092677	coa6	cytochrome c oxidase assembly factor 6	100150991
ENSDARG00000089204	si:dkey-206d17.5	si:dkey-206d17.5	100190889
ENSDARG00000078389	si:dkey-188i13.7	si:dkey-188i13.7	100302471
ENSDARG00000075421	pttg1	pituitary tumor-transforming 1	100307086
ENSDARG00000040027	osbpl10	oxysterol binding protein-like 10	100319820
ENSDARG00000087555	si:ch73-308l14.2	si:ch73-308l14.2	100329277
ENSDARG00000096597	si:ch1073-228b5.2	si:ch1073-228b5.2	100331141
ENSDARG00000100446	si:ch211-286o17.1	si:ch211-286o17.1	100332904
ENSDARG00000096306	si:ch1073-342h5.2	si:ch1073-342h5.2	100333617
ENSDARG00000090191	psmg4	proteasome (prosome, macropain) assembly chaperone 4	100333944
ENSDARG00000059960	plch2	phospholipase C, eta 2a	100334231
ENSDARG00000016774	plekho2	pleckstrin homology domain containing, family O member 2	100334463
ENSDARG00000058038	eml3	echinoderm microtubule associated protein like 3	100533983
ENSDARG00000076520	mafb	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog b (paralog b)	100537332
ENSDARG00000086626	im:7147486	im:7147486	100537446
ENSDARG00000094695	si:dkey-204f11.64	si:dkey-204f11.64	100537752
ENSDARG00000104709	sprtn	SprT-like N-terminal domain	101886162
ENSDARG00000079150	si:ch211-276i12.9	si:ch211-276i12.9	103908774
ENSDARG00000101110	NA	LYR motif containing 4	103909737
ENSDARG00000008434	bcl2l1	bcl2-like 1	114401
ENSDARG00000102750	cdh1	cadherin 1, type 1, E-cadherin (epithelial)	114424
ENSDARG00000013207	zeb1b	zinc finger E-box binding homeobox 1b	114425
ENSDARG00000044575	vars	valyl-tRNA synthetase	114427
ENSDARG00000068732	spry4	sprouty homolog 4 (Drosophila)	114437
ENSDARG00000052649	ube2ia	ubiquitin-conjugating enzyme E2Ia	114445
ENSDARG00000041959	cxcr4b	chemokine (C-X-C motif), receptor 4b	114447
ENSDARG00000042667	klf2a	Kruppel-like factor 2a	117508
ENSDARG00000040432	klf2b	Kruppel-like factor 2b	117509
ENSDARG00000039041	sfrp5	secreted frizzled-related protein 5	117510
ENSDARG00000013168	jag1b	jagged 1b	140423
ENSDARG00000077467	sox10	SRY (sex determining region Y)-box 10	140616
ENSDARG00000017905	casp3a	caspase 3, apoptosis-related cysteine peptidase a	140621
ENSDARG00000036074	cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	140815
ENSDARG00000019398	psma6a	proteasome subunit alpha 6a	171585
ENSDARG00000034785	dachb	dachshund b	192122
ENSDARG00000040838	dcun1d2a	DCN1, defective in cullin neddylation 1, domain containing 2a	192303
ENSDARG00000012399	adssl	adenylosuccinate synthase, like	192305
ENSDARG00000025012	tpi1a	triosephosphate isomerase 1a	192309
ENSDARG00000017762	srrt	serrate RNA effector molecule homolog (Arabidopsis)	192311
ENSDARG00000003527	mak16	MAK16 homolog (S. cerevisiae)	192312
ENSDARG00000007385	cct7	chaperonin containing TCP1, subunit 7 (eta)	192324
ENSDARG00000014898	ncbp2	nuclear cap binding protein subunit 2	192325
ENSDARG00000016173	cct3	chaperonin containing TCP1, subunit 3 (gamma)	192327
ENSDARG00000009871	snrpc	small nuclear ribonucleoprotein polypeptide C	192330
ENSDARG00000011648	snrpd1	small nuclear ribonucleoprotein D1 polypeptide	192331
ENSDARG00000005699	ddx19	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homolog, yeast)	192339
ENSDARG00000044299	lmnb1	lamin B1	195816
ENSDARG00000037153	atp6ap1b	ATPase, H+ transporting, lysosomal accessory protein 1b	195824
ENSDARG00000020072	thbs4b	thrombospondin 4b	252850
ENSDARG00000104782	oaz1b	ornithine decarboxylase antizyme 1b	259193
ENSDARG00000021172	cyp2ad2	cytochrome P450, family 2, subfamily AD, polypeptide 2	259306
ENSDARG00000044356	tp63	tumor protein p63	260407
ENSDARG00000008433	unc45b	unc-45 myosin chaperone B	266640
ENSDARG00000019137	tram1	translocation associated membrane protein 1	266757
ENSDARG00000005675	sec61a1l	Sec61 translocon alpha 1 subunit, like	266796
ENSDARG00000014329	npm1a	nucleophosmin 1a (nucleolar phosphoprotein B23, numatrin)	266985
ENSDARG00000043976	etf1b	eukaryotic translation termination factor 1b	266989
ENSDARG00000037109	pwp2h	PWP2 periodic tryptophan protein homolog (yeast)	266990
ENSDARG00000103799	kars	lysyl-tRNA synthetase	280647
ENSDARG00000029072	klf6a	Kruppel-like factor 6a	280650
ENSDARG00000052348	smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	282615
ENSDARG00000090912	npc2	Niemann-Pick disease, type C2	282673
ENSDARG00000056160	hspd1	heat shock 60 protein 1	282676
ENSDARG00000045155	phf5a	PHD finger protein 5A	286774
ENSDARG00000012113	c19h1orf109	c19h1orf109 homolog (H. sapiens)	286778
ENSDARG00000021948	tnc	tenascin C	30037
ENSDARG00000007923	ptpn1	protein tyrosine phosphatase, non-receptor type 1	30081
ENSDARG00000052856	khdrbs1a	KH domain containing, RNA binding, signal transduction associated 1a	30082
ENSDARG00000013505	ube2kb	ubiquitin-conjugating enzyme E2Kb (UBC1 homolog, yeast)	30100
ENSDARG00000104453	flt4	fms-related tyrosine kinase 4	30121
ENSDARG00000067544	tcf15	transcription factor 15 (basic helix-loop-helix)	30159
ENSDARG00000102470	mpp7a	membrane protein, palmitoylated 7a (MAGUK p55 subfamily member 7)	30166
ENSDARG00000003487	nup93	nucleoporin 93	30172
ENSDARG00000026531	alcama	activated leukocyte cell adhesion molecule a	30194
ENSDARG00000020217	cpsf4	cleavage and polyadenylation specific factor 4	30203
ENSDARG00000002952	smo	smoothened, frizzled class receptor	30225
ENSDARG00000026599	eng2a	engrailed homeobox 2a	30243
ENSDARG00000040777	inhbb	inhibin, beta B	30275
ENSDARG00000013087	ndrg3a	ndrg family member 3a	30286
ENSDARG00000006514	her6	hairy-related 6	30288
ENSDARG00000104808	jak2a	Janus kinase 2a	30307
ENSDARG00000033683	tpma	alpha-tropomyosin	30324
ENSDARG00000011166	cahz	carbonic anhydrase	30331
ENSDARG00000038225	nras	neuroblastoma RAS viral (v-ras) oncogene homolog	30380
ENSDARG00000052695	nr2f1a	nuclear receptor subfamily 2, group F, member 1a	30418
ENSDARG00000077776	csnk2b	casein kinase 2, beta polypeptide	30428
ENSDARG00000020890	tmod4	tropomodulin 4 (muscle)	30441
ENSDARG00000024844	max	myc associated factor X	30467
ENSDARG00000013477	gata1a	GATA binding protein 1a	30481
ENSDARG00000101540	fgf3	fibroblast growth factor 3	30549
ENSDARG00000027199	smad1	SMAD family member 1	30628
ENSDARG00000033443	mdm2	MDM2 oncogene, E3 ubiquitin protein ligase	30637
ENSDARG00000012234	psme3	proteasome activator subunit 3	30649
ENSDARG00000004932	anos1b	anosmin 1b	30652
ENSDARG00000018004	nkx2.5	NK2 homeobox 5	30696
ENSDARG00000011027	fgfr1a	fibroblast growth factor receptor 1a	30705
ENSDARG00000006963	cse1l	CSE1 chromosome segregation 1-like (yeast)	30707
ENSDARG00000018643	igf2a	insulin-like growth factor 2a	30710
ENSDARG00000002779	pdx1	pancreatic and duodenal homeobox 1	30721
ENSDARG00000038695	elavl1	ELAV like RNA binding protein 1	30736
ENSDARG00000104100	bmpr1ba	bone morphogenetic protein receptor, type IBa	30742
ENSDARG00000009473	ppardb	peroxisome proliferator-activated receptor delta b	30754
ENSDARG00000026784	robo1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	30769
ENSDARG00000099351	igfbp1a	insulin-like growth factor binding protein 1a	317638
ENSDARG00000005772	tsr2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)	317639
ENSDARG00000040666	nifk	nucleolar protein interacting with the FHA domain of MKI67	317644
ENSDARG00000055639	ruvbl2	RuvB-like AAA ATPase 2	317678
ENSDARG00000002591	ruvbl1	RuvB-like AAA ATPase 1	317679
ENSDARG00000008816	glud1a	glutamate dehydrogenase 1a	317737
ENSDARG00000020606	nfe2	nuclear factor, erythroid 2	317765
ENSDARG00000011079	wdr3	WD repeat domain 3	321058
ENSDARG00000030789	ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	321127
ENSDARG00000033539	paics	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	321193
ENSDARG00000037960	lrrc17	leucine rich repeat containing 17	321202
ENSDARG00000031907	ptbp1b	polypyrimidine tract binding protein 1b	321220
ENSDARG00000071697	zgc:66433	zgc:66433	321250
ENSDARG00000005454	tacc3	transforming, acidic coiled-coil containing protein 3	321283
ENSDARG00000057414	phb	prohibitin	321346
ENSDARG00000074161	tnrc6b	trinucleotide repeat containing 6b	321362
ENSDARG00000029544	id2b	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein, b	321364
ENSDARG00000039215	arrb2a	arrestin, beta 2a	321378
ENSDARG00000071586	tgfbi	transforming growth factor, beta-induced	321421
ENSDARG00000036102	ctdsp2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	321465
ENSDARG00000015239	prp19	pre-mRNA processing factor 19	321544
ENSDARG00000005551	hnrnph1l	heterogeneous nuclear ribonucleoprotein H1, like	321556
ENSDARG00000053691	maea	macrophage erythroblast attacher	321575
ENSDARG00000101126	atad5b	ATPase family, AAA domain containing 5b	321619
ENSDARG00000003287	wdr12	WD repeat domain 12	321652
ENSDARG00000033597	api5	apoptosis inhibitor 5	321676
ENSDARG00000003027	scnm1	sodium channel modifier 1	321696
ENSDARG00000026767	nol11	nucleolar protein 11	321700
ENSDARG00000011999	ybey	ybeY metallopeptidase	321718
ENSDARG00000029058	rbbp4	retinoblastoma binding protein 4	321726
ENSDARG00000040287	ywhabl	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide like	321729
ENSDARG00000059337	tgif1	TGFB-induced factor homeobox 1	321756
ENSDARG00000016132	keap1a	kelch-like ECH-associated protein 1a	321837
ENSDARG00000014244	rbmx	RNA binding motif protein, X-linked	321860
ENSDARG00000105177	ilf3b	interleukin enhancer binding factor 3b	321868
ENSDARG00000006219	gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	321897
ENSDARG00000052377	psmd12	proteasome 26S subunit, non-ATPase 12	321898
ENSDARG00000101900	xrn2	5'-3' exoribonuclease 2	321940
ENSDARG00000027141	ube2l3b	ubiquitin-conjugating enzyme E2L 3b	321943
ENSDARG00000010246	prmt1	protein arginine methyltransferase 1	321974
ENSDARG00000020482	nono	non-POU domain containing, octamer-binding	321994
ENSDARG00000074301	cth	cystathionase (cystathionine gamma-lyase)	322055
ENSDARG00000006399	ywhae1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 1	322060
ENSDARG00000090309	ubxn1	UBX domain protein 1	322073
ENSDARG00000013655	tpd52l2b	tumor protein D52-like 2b	322103
ENSDARG00000009001	pdia6	protein disulfide isomerase family A, member 6	322160
ENSDARG00000038068	ddx5	DEAD (Asp-Glu-Ala-Asp) box helicase 5	322206
ENSDARG00000019614	jade3	jade family PHD finger 3	322209
ENSDARG00000042864	rpl7l1	ribosomal protein L7-like 1	322251
ENSDARG00000045399	cct5	chaperonin containing TCP1, subunit 5 (epsilon)	322258
ENSDARG00000005134	psmd11b	proteasome 26S subunit, non-ATPase 11b	322265
ENSDARG00000012458	zgc:77849	zgc:77849	322387
ENSDARG00000016412	agt	angiotensinogen	322485
ENSDARG00000052170	uap1	UDP-N-acetylglucosamine pyrophosphorylase 1	322513
ENSDARG00000041110	dnajc3a	DnaJ (Hsp40) homolog, subfamily C, member 3a	322544
ENSDARG00000014572	chpt1	choline phosphotransferase 1	322605
ENSDARG00000035872	hsd17b12b	hydroxysteroid (17-beta) dehydrogenase 12b	322626
ENSDARG00000092112	tomm40	translocase of outer mitochondrial membrane 40 homolog (yeast)	322645
ENSDARG00000089260	dus1l	dihydrouridine synthase 1-like (S. cerevisiae)	322715
ENSDARG00000005536	ubr7	ubiquitin protein ligase E3 component n-recognin 7	322815
ENSDARG00000008461	anapc5	anaphase promoting complex subunit 5	322854
ENSDARG00000017454	nup50	nucleoporin 50	322969
ENSDARG00000008803	marcksb	myristoylated alanine-rich protein kinase C substrate b	323201
ENSDARG00000006642	drg2	developmentally regulated GTP binding protein 2	323355
ENSDARG00000040224	krcp	kelch repeat-containing protein	323406
ENSDARG00000012495	mphosph10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	323426
ENSDARG00000104431	slc1a3a	solute carrier family 1 (glial high affinity glutamate transporter), member 3a	323439
ENSDARG00000026476	tia1l	cytotoxic granule-associated RNA binding protein 1, like	323447
ENSDARG00000070657	pa2g4b	proliferation-associated 2G4, b	323462
ENSDARG00000015352	lsg1	large 60S subunit nuclear export GTPase 1	323464
ENSDARG00000020258	ewsr1a	EWS RNA-binding protein 1a	323597
ENSDARG00000070435	vapb	VAMP (vesicle-associated membrane protein)-associated protein B and C	323628
ENSDARG00000021443	zfp36l1b	zinc finger protein 36, C3H type-like 1b	323671
ENSDARG00000003213	naa15a	N(alpha)-acetyltransferase 15, NatA auxiliary subunit a	323672
ENSDARG00000006497	rtn1a	reticulon 1a	323706
ENSDARG00000104223	lmbrd1	LMBR1 domain containing 1	323720
ENSDARG00000056923	dbr1	debranching RNA lariats 1	323746
ENSDARG00000027046	scyl3	SCY1-like, kinase-like 3	323839
ENSDARG00000015221	nsrp1	nuclear speckle splicing regulatory protein 1	323926
ENSDARG00000052966	nmt1a	N-myristoyltransferase 1a	323956
ENSDARG00000056127	polr2gl	polymerase (RNA) II (DNA directed) polypeptide G-like	324088
ENSDARG00000018890	snrpa	small nuclear ribonucleoprotein polypeptide A	324121
ENSDARG00000026070	cd82b	CD82 molecule b	324137
ENSDARG00000037260	toporsa	topoisomerase I binding, arginine/serine-rich a	324197
ENSDARG00000075682	orc6	origin recognition complex, subunit 6	324256
ENSDARG00000053047	eif2s2	eukaryotic translation initiation factor 2, subunit 2 beta	324365
ENSDARG00000045129	fkbp10b	FK506 binding protein 10b	324381
ENSDARG00000004060	bhlhe40	basic helix-loop-helix family, member e40	324413
ENSDARG00000009754	zc3h11a	zinc finger CCCH-type containing 11A	324551
ENSDARG00000027649	cpsf3	cleavage and polyadenylation specific factor 3	324554
ENSDARG00000036061	ogfod1	2-oxoglutarate and iron-dependent oxygenase domain containing 1	324573
ENSDARG00000028401	rhogc	ras homolog gene family, member Gc	324681
ENSDARG00000004891	pex19	peroxisomal biogenesis factor 19	324778
ENSDARG00000007744	tsr1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	325037
ENSDARG00000002720	utp15	utp15, U3 small nucleolar ribonucleoprotein, homolog	325106
ENSDARG00000035507	ddx31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31	325248
ENSDARG00000055291	rab18a	RAB18A, member RAS oncogene family	325255
ENSDARG00000036577	atp6v0cb	ATPase, H+ transporting, lysosomal, V0 subunit cb	325402
ENSDARG00000042522	katnbl1	katanin p80 subunit B-like 1	325430
ENSDARG00000037361	kdelr2b	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2b	325464
ENSDARG00000006225	ddx39aa	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Aa	325550
ENSDARG00000003216	anxa2a	annexin A2a	325557
ENSDARG00000102070	tbc1d10aa	TBC1 domain family, member 10Aa	325772
ENSDARG00000039649	mtif3	mitochondrial translational initiation factor 3	325802
ENSDARG00000097692	si:ch211-116o3.5	si:ch211-116o3.5	325902
ENSDARG00000025693	tmem9b	TMEM9 domain family, member B	325931
ENSDARG00000029019	epb41b	erythrocyte membrane protein band 4.1b	326287
ENSDARG00000008740	esf1	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)	326718
ENSDARG00000027099	psmc4	proteasome 26S subunit, ATPase 4	326884
ENSDARG00000099510	cnn3a	calponin 3, acidic a	326931
ENSDARG00000037291	dpf2l	D4, zinc and double PHD fingers family 2, like	326933
ENSDARG00000015853	rnps1	RNA binding protein S1, serine-rich domain	327020
ENSDARG00000016393	arf2b	ADP-ribosylation factor 2b	327026
ENSDARG00000013478	rrp15	ribosomal RNA processing 15 homolog	327053
ENSDARG00000013670	hyou1	hypoxia up-regulated 1	327133
ENSDARG00000043021	slc26a11	solute carrier family 26 (anion exchanger), member 11	327138
ENSDARG00000010437	fam46c	family with sequence similarity 46, member C	327154
ENSDARG00000053152	pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	327176
ENSDARG00000003383	asb8	ankyrin repeat and SOCS box containing 8	327200
ENSDARG00000074849	rac1a	ras-related C3 botulinum toxin substrate 1a (rho family, small GTP binding protein Rac1)	327204
ENSDARG00000003931	cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	327288
ENSDARG00000102417	psmd7	proteasome 26S subunit, non-ATPase 7	327330
ENSDARG00000058461	ice1	KIAA0947-like (H. sapiens)	327355
ENSDARG00000041565	tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	327399
ENSDARG00000043873	arid4a	AT rich interactive domain 4A (RBP1-like)	327404
ENSDARG00000025953	rhoq	ras homolog family member Q	327510
ENSDARG00000079994	wu:fi15d04	wu:fi15d04	327519
ENSDARG00000094709	arl8	ADP-ribosylation factor-like 8	327551
ENSDARG00000036685	ccnt2a	cyclin T2a	327568
ENSDARG00000098296	gnsb	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID), b	327635
ENSDARG00000018953	gclm	glutamate-cysteine ligase, modifier subunit	333974
ENSDARG00000032469	ampd3b	adenosine monophosphate deaminase 3b	333997
ENSDARG00000074790	c23h20orf24	c23h20orf24 homolog (H. sapiens)	334006
ENSDARG00000077847	olfm2a	olfactomedin 2a	334035
ENSDARG00000018989	hspa4b	heat shock protein 4b	334086
ENSDARG00000023028	cdv3	carnitine deficiency-associated gene expressed in ventricle 3	334102
ENSDARG00000103394	kif5bb	kinesin family member 5B, b	334108
ENSDARG00000022456	eno1a	enolase 1a, (alpha)	334116
ENSDARG00000017708	lrrc40	leucine rich repeat containing 40	334130
ENSDARG00000015292	ube2g1a	ubiquitin-conjugating enzyme E2G 1a (UBC7 homolog, yeast)	334133
ENSDARG00000018426	aldh7a1	aldehyde dehydrogenase 7 family, member A1	334197
ENSDARG00000005246	asb3	ankyrin repeat and SOCS box containing 3	334210
ENSDARG00000009837	agk	acylglycerol kinase	334270
ENSDARG00000013946	ivns1abpb	influenza virus NS1A binding protein b	334334
ENSDARG00000058566	wu:fi42h12	wu:fi42h12	334358
ENSDARG00000059711	nol6	nucleolar protein 6 (RNA-associated)	334362
ENSDARG00000096095	buc	bucky ball	334375
ENSDARG00000044090	zmpste24	zinc metallopeptidase, STE24 homolog	334380
ENSDARG00000037872	foxk1	forkhead box K1	334470
ENSDARG00000004735	hnrnpub	heterogeneous nuclear ribonucleoprotein Ub	334490
ENSDARG00000041570	mrpl39	mitochondrial ribosomal protein L39	334588
ENSDARG00000041631	fam192a	family with sequence similarity 192, member A	334752
ENSDARG00000002830	trmt2a	tRNA methyltransferase 2 homolog A	334936
ENSDARG00000036695	calcoco1a	calcium binding and coiled-coil domain 1a	334971
ENSDARG00000055798	heyl	hes-related family bHLH transcription factor with YRPW motif-like	335134
ENSDARG00000023323	ywhaqb	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide b	335195
ENSDARG00000046143	prkab1b	protein kinase, AMP-activated, beta 1 non-catalytic subunit, b	335232
ENSDARG00000014218	mecp2	methyl CpG binding protein 2	335250
ENSDARG00000035890	fuca1.1	fucosidase, alpha-L- 1, tissue, tandem duplicate 1	335494
ENSDARG00000009657	fgfr1op2	FGFR1 oncogene partner 2	335511
ENSDARG00000017741	g3bp1	GTPase activating protein (SH3 domain) binding protein 1	335512
ENSDARG00000103849	mdh1ab	malate dehydrogenase 1Ab, NAD (soluble)	335715
ENSDARG00000040485	dfna5b	deafness, autosomal dominant 5 b	335722
ENSDARG00000079352	sap130b	Sin3A-associated protein b	335897
ENSDARG00000009724	rpn2	ribophorin II	335985
ENSDARG00000101626	arf6a	ADP-ribosylation factor 6a	336063
ENSDARG00000013965	cul2	cullin 2	336088
ENSDARG00000003531	tcea1	transcription elongation factor A (SII), 1	336105
ENSDARG00000039958	utp11l	UTP11-like, U3 small nucleolar ribonucleoprotein (yeast)	336149
ENSDARG00000056378	ifi30	interferon, gamma-inducible protein 30	336503
ENSDARG00000098820	ftr67	finTRIM family, member 67	336567
ENSDARG00000009212	ppiaa	peptidylprolyl isomerase Aa (cyclophilin A)	336612
ENSDARG00000035018	thy1	Thy-1 cell surface antigen	336617
ENSDARG00000002344	tubb4b	tubulin, beta 4B class IVb	336681
ENSDARG00000054312	slc38a6	solute carrier family 38, member 6	336741
ENSDARG00000030537	psmc1a	proteasome 26S subunit, ATPase 1a	336786
ENSDARG00000039345	drg1	developmentally regulated GTP binding protein 1	336823
ENSDARG00000058861	ncl1	nicalin	336844
ENSDARG00000024026	sdf2	stromal cell-derived factor 2	336879
ENSDARG00000030116	susd6	sushi domain containing 6	336888
ENSDARG00000045514	atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	336957
ENSDARG00000014817	ranbp1	RAN binding protein 1	337046
ENSDARG00000043357	tbl2	transducin (beta)-like 2	337068
ENSDARG00000054530	rars	arginyl-tRNA synthetase	337070
ENSDARG00000029856	cnn3b	calponin 3, acidic b	337142
ENSDARG00000070849	rps15	ribosomal protein S15	337148
ENSDARG00000056804	si:dkey-40g16.6	si:dkey-40g16.6	337166
ENSDARG00000077297	nbr1	neighbor of brca1 gene 1	337168
ENSDARG00000033738	zgc:153867	zgc:153867	337226
ENSDARG00000100742	reep5	receptor accessory protein 5	337237
ENSDARG00000006915	arl8ba	ADP-ribosylation factor-like 8Ba	337424
ENSDARG00000012222	nup35	nucleoporin 35	337461
ENSDARG00000028976	pus3	pseudouridylate synthase 3	337487
ENSDARG00000069763	etv5a	ets variant 5a	337626
ENSDARG00000019881	bsg	basigin	337692
ENSDARG00000018602	rab5aa	RAB5A, member RAS oncogene family, a	337737
ENSDARG00000039830	gng5	guanine nucleotide binding protein (G protein), gamma 5	337838
ENSDARG00000037639	nkx3.2	NK3 homeobox 2	337865
ENSDARG00000006524	supt6h	SPT6 homolog, histone chaperone	337866
ENSDARG00000056557	copb1	coatomer protein complex, subunit beta 1	338138
ENSDARG00000007682	ppdpfa	pancreatic progenitor cell differentiation and proliferation factor a	338304
ENSDARG00000025436	msrb1a	methionine sulfoxide reductase B1a	352916
ENSDARG00000023220	selt2	selenoprotein T, 2	352917
ENSDARG00000100374	txnrd1	thioredoxin reductase 1	352924
ENSDARG00000077226	smarca4a	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4a	353295
ENSDARG00000088048	fgf18a	fibroblast growth factor 18a	359829
ENSDARG00000037654	pmm2	phosphomannomutase 2	368229
ENSDARG00000035913	yars	tyrosyl-tRNA synthetase	368235
ENSDARG00000075559	ppm1g	protein phosphatase, Mg2+/Mn2+ dependent, 1G	368275
ENSDARG00000004311	ldlrap1a	low density lipoprotein receptor adaptor protein 1a	368278
ENSDARG00000036164	cars	cysteinyl-tRNA synthetase	368284
ENSDARG00000035957	gmnn	geminin, DNA replication inhibitor	368320
ENSDARG00000000019	ube2h	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	368425
ENSDARG00000001442	inppl1b	inositol polyphosphate phosphatase-like 1b	368433
ENSDARG00000028661	cntfr	ciliary neurotrophic factor receptor	368438
ENSDARG00000040730	wdr75	WD repeat domain 75	368478
