userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000154914	USP43	ubiquitin specific peptidase 43	124739	https://www.ncbi.nlm.nih.gov/gene/?term=124739
ENSG00000273749	CYFIP1	cytoplasmic FMR1 interacting protein 1	23191	https://www.ncbi.nlm.nih.gov/gene/?term=23191
ENSG00000134222	PSRC1	proline and serine rich coiled-coil 1	84722	https://www.ncbi.nlm.nih.gov/gene/?term=84722
ENSG00000203930	LINC00632	long intergenic non-protein coding RNA 632	286411	https://www.ncbi.nlm.nih.gov/gene/?term=286411
ENSG00000168917	SLC35G2	solute carrier family 35 member G2	80723	https://www.ncbi.nlm.nih.gov/gene/?term=80723
ENSG00000261594	TPBGL	trophoblast glycoprotein like	100507050	https://www.ncbi.nlm.nih.gov/gene/?term=100507050
ENSG00000196924	FLNA	filamin A	2316	https://www.ncbi.nlm.nih.gov/gene/?term=2316
ENSG00000172020	GAP43	growth associated protein 43	2596	https://www.ncbi.nlm.nih.gov/gene/?term=2596
ENSG00000157570	TSPAN18	tetraspanin 18	90139	https://www.ncbi.nlm.nih.gov/gene/?term=90139
ENSG00000132640	BTBD3	BTB domain containing 3	22903	https://www.ncbi.nlm.nih.gov/gene/?term=22903
ENSG00000163050	COQ8A	coenzyme Q8A	56997	https://www.ncbi.nlm.nih.gov/gene/?term=56997
ENSG00000163840	DTX3L	deltex E3 ubiquitin ligase 3L	151636	https://www.ncbi.nlm.nih.gov/gene/?term=151636
ENSG00000100097	LGALS1	galectin 1	3956	https://www.ncbi.nlm.nih.gov/gene/?term=3956
ENSG00000129116	PALLD	palladin, cytoskeletal associated protein	23022	https://www.ncbi.nlm.nih.gov/gene/?term=23022
ENSG00000183018	SPNS2	sphingolipid transporter 2	124976	https://www.ncbi.nlm.nih.gov/gene/?term=124976
ENSG00000034053	APBA2	amyloid beta precursor protein binding family A member 2	321	https://www.ncbi.nlm.nih.gov/gene/?term=321
ENSG00000164093	PITX2	paired like homeodomain 2	5308	https://www.ncbi.nlm.nih.gov/gene/?term=5308
ENSG00000158470	B4GALT5	beta-1,4-galactosyltransferase 5	9334	https://www.ncbi.nlm.nih.gov/gene/?term=9334
ENSG00000163655	GMPS	guanine monophosphate synthase	8833	https://www.ncbi.nlm.nih.gov/gene/?term=8833
ENSG00000233670	PIRT	phosphoinositide interacting regulator of transient receptor potential channels	644139	https://www.ncbi.nlm.nih.gov/gene/?term=644139
ENSG00000189058	APOD	apolipoprotein D	347	https://www.ncbi.nlm.nih.gov/gene/?term=347
ENSG00000145730	PAM	peptidylglycine alpha-amidating monooxygenase	5066	https://www.ncbi.nlm.nih.gov/gene/?term=5066
ENSG00000144579	CTDSP1	CTD small phosphatase 1	58190	https://www.ncbi.nlm.nih.gov/gene/?term=58190
ENSG00000140682	TGFB1I1	transforming growth factor beta 1 induced transcript 1	7041	https://www.ncbi.nlm.nih.gov/gene/?term=7041
ENSG00000170549	IRX1	iroquois homeobox 1	79192	https://www.ncbi.nlm.nih.gov/gene/?term=79192
ENSG00000114948	ADAM23	ADAM metallopeptidase domain 23	8745	https://www.ncbi.nlm.nih.gov/gene/?term=8745
ENSG00000162188	GNG3	G protein subunit gamma 3	2785	https://www.ncbi.nlm.nih.gov/gene/?term=2785
ENSG00000165175	MID1IP1	MID1 interacting protein 1	58526	https://www.ncbi.nlm.nih.gov/gene/?term=58526
ENSG00000225783	MIAT	myocardial infarction associated transcript	440823	https://www.ncbi.nlm.nih.gov/gene/?term=440823
ENSG00000109062	SLC9A3R1	SLC9A3 regulator 1	9368	https://www.ncbi.nlm.nih.gov/gene/?term=9368
ENSG00000260314	MRC1	mannose receptor C-type 1	4360	https://www.ncbi.nlm.nih.gov/gene/?term=4360
ENSG00000111678	C12orf57	chromosome 12 open reading frame 57	113246	https://www.ncbi.nlm.nih.gov/gene/?term=113246
ENSG00000161509	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	2905	https://www.ncbi.nlm.nih.gov/gene/?term=2905
ENSG00000134594	RAB33A	RAB33A, member RAS oncogene family	9363	https://www.ncbi.nlm.nih.gov/gene/?term=9363
ENSG00000166922	SCG5	secretogranin V	6447	https://www.ncbi.nlm.nih.gov/gene/?term=6447
ENSG00000153815	CMIP	c-Maf inducing protein	80790	https://www.ncbi.nlm.nih.gov/gene/?term=80790
ENSG00000105717	PBX4	PBX homeobox 4	80714	https://www.ncbi.nlm.nih.gov/gene/?term=80714
ENSG00000229891	LINC01315	long intergenic non-protein coding RNA 1315	102723775	https://www.ncbi.nlm.nih.gov/gene/?term=102723775
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10	5602	https://www.ncbi.nlm.nih.gov/gene/?term=5602
ENSG00000164161	HHIP	hedgehog interacting protein	64399	https://www.ncbi.nlm.nih.gov/gene/?term=64399
ENSG00000083857	FAT1	FAT atypical cadherin 1	2195	https://www.ncbi.nlm.nih.gov/gene/?term=2195
ENSG00000115866	DARS	aspartyl-tRNA synthetase	1615	https://www.ncbi.nlm.nih.gov/gene/?term=1615
ENSG00000176170	SPHK1	sphingosine kinase 1	8877	https://www.ncbi.nlm.nih.gov/gene/?term=8877
ENSG00000140262	TCF12	transcription factor 12	6938	https://www.ncbi.nlm.nih.gov/gene/?term=6938
ENSG00000139116	KIF21A	kinesin family member 21A	55605	https://www.ncbi.nlm.nih.gov/gene/?term=55605
ENSG00000002549	LAP3	leucine aminopeptidase 3	51056	https://www.ncbi.nlm.nih.gov/gene/?term=51056
ENSG00000198792	TMEM184B	transmembrane protein 184B	25829	https://www.ncbi.nlm.nih.gov/gene/?term=25829
ENSG00000120742	SERP1	stress associated endoplasmic reticulum protein 1	27230	https://www.ncbi.nlm.nih.gov/gene/?term=27230
ENSG00000114200	BCHE	butyrylcholinesterase	590	https://www.ncbi.nlm.nih.gov/gene/?term=590
ENSG00000099864	PALM	paralemmin	5064	https://www.ncbi.nlm.nih.gov/gene/?term=5064
ENSG00000125398	SOX9	SRY-box 9	6662	https://www.ncbi.nlm.nih.gov/gene/?term=6662
ENSG00000176387	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	3291	https://www.ncbi.nlm.nih.gov/gene/?term=3291
ENSG00000185008	ROBO2	roundabout guidance receptor 2	6092	https://www.ncbi.nlm.nih.gov/gene/?term=6092
ENSG00000183798	EMILIN3	elastin microfibril interfacer 3	90187	https://www.ncbi.nlm.nih.gov/gene/?term=90187
ENSG00000077312	SNRPA	small nuclear ribonucleoprotein polypeptide A	6626	https://www.ncbi.nlm.nih.gov/gene/?term=6626
ENSG00000196628	TCF4	transcription factor 4	6925	https://www.ncbi.nlm.nih.gov/gene/?term=6925
ENSG00000205336	ADGRG1	adhesion G protein-coupled receptor G1	9289	https://www.ncbi.nlm.nih.gov/gene/?term=9289
ENSG00000186522	SEPT10	septin 10	151011	https://www.ncbi.nlm.nih.gov/gene/?term=151011
ENSG00000176014	TUBB6	tubulin beta 6 class V	84617	https://www.ncbi.nlm.nih.gov/gene/?term=84617
ENSG00000158270	COLEC12	collectin subfamily member 12	81035	https://www.ncbi.nlm.nih.gov/gene/?term=81035
ENSG00000169231	THBS3	thrombospondin 3	7059	https://www.ncbi.nlm.nih.gov/gene/?term=7059
ENSG00000087077	TRIP6	thyroid hormone receptor interactor 6	7205	https://www.ncbi.nlm.nih.gov/gene/?term=7205
ENSG00000135299	ANKRD6	ankyrin repeat domain 6	22881	https://www.ncbi.nlm.nih.gov/gene/?term=22881
ENSG00000182809	CRIP2	cysteine rich protein 2	1397	https://www.ncbi.nlm.nih.gov/gene/?term=1397
ENSG00000172037	LAMB2	laminin subunit beta 2	3913	https://www.ncbi.nlm.nih.gov/gene/?term=3913
ENSG00000175785	PRIMA1	proline rich membrane anchor 1	145270	https://www.ncbi.nlm.nih.gov/gene/?term=145270
ENSG00000176769	TCERG1L	transcription elongation regulator 1 like	256536	https://www.ncbi.nlm.nih.gov/gene/?term=256536
ENSG00000056277	ZNF280C	zinc finger protein 280C	55609	https://www.ncbi.nlm.nih.gov/gene/?term=55609
ENSG00000141449	GREB1L	GREB1 like retinoic acid receptor coactivator	80000	https://www.ncbi.nlm.nih.gov/gene/?term=80000
ENSG00000171109	MFN1	mitofusin 1	55669	https://www.ncbi.nlm.nih.gov/gene/?term=55669
ENSG00000168214	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	3516	https://www.ncbi.nlm.nih.gov/gene/?term=3516
ENSG00000134825	TMEM258	transmembrane protein 258	746	https://www.ncbi.nlm.nih.gov/gene/?term=746
ENSG00000213719	CLIC1	chloride intracellular channel 1	1192	https://www.ncbi.nlm.nih.gov/gene/?term=1192
ENSG00000103202	NME4	NME/NM23 nucleoside diphosphate kinase 4	4833	https://www.ncbi.nlm.nih.gov/gene/?term=4833
ENSG00000100300	TSPO	translocator protein	706	https://www.ncbi.nlm.nih.gov/gene/?term=706
ENSG00000099256	PRTFDC1	phosphoribosyl transferase domain containing 1	56952	https://www.ncbi.nlm.nih.gov/gene/?term=56952
ENSG00000174839	DENND6A	DENN domain containing 6A	201627	https://www.ncbi.nlm.nih.gov/gene/?term=201627
ENSG00000163064	EN1	engrailed homeobox 1	2019	https://www.ncbi.nlm.nih.gov/gene/?term=2019
ENSG00000109099	PMP22	peripheral myelin protein 22	5376	https://www.ncbi.nlm.nih.gov/gene/?term=5376
ENSG00000150401	DCUN1D2	defective in cullin neddylation 1 domain containing 2	55208	https://www.ncbi.nlm.nih.gov/gene/?term=55208
ENSG00000134853	PDGFRA	platelet derived growth factor receptor alpha	5156	https://www.ncbi.nlm.nih.gov/gene/?term=5156
ENSG00000101104	PABPC1L	poly(A) binding protein cytoplasmic 1 like	80336	https://www.ncbi.nlm.nih.gov/gene/?term=80336
ENSG00000130827	PLXNA3	plexin A3	55558	https://www.ncbi.nlm.nih.gov/gene/?term=55558
ENSG00000171786	NHLH1	nescient helix-loop-helix 1	4807	https://www.ncbi.nlm.nih.gov/gene/?term=4807
ENSG00000164764	SBSPON	somatomedin B and thrombospondin type 1 domain containing	157869	https://www.ncbi.nlm.nih.gov/gene/?term=157869
ENSG00000188042	ARL4C	ADP ribosylation factor like GTPase 4C	10123	https://www.ncbi.nlm.nih.gov/gene/?term=10123
ENSG00000142549	IGLON5	IgLON family member 5	402665	https://www.ncbi.nlm.nih.gov/gene/?term=402665
ENSG00000245694	CRNDE	colorectal neoplasia differentially expressed	643911	https://www.ncbi.nlm.nih.gov/gene/?term=643911
ENSG00000245694	LOC101927480	uncharacterized LOC101927480	101927480	https://www.ncbi.nlm.nih.gov/gene/?term=101927480
ENSG00000079459	FDFT1	farnesyl-diphosphate farnesyltransferase 1	2222	https://www.ncbi.nlm.nih.gov/gene/?term=2222
ENSG00000136518	ACTL6A	actin like 6A	86	https://www.ncbi.nlm.nih.gov/gene/?term=86
ENSG00000145246	ATP10D	ATPase phospholipid transporting 10D (putative)	57205	https://www.ncbi.nlm.nih.gov/gene/?term=57205
ENSG00000119866	BCL11A	BCL11A, BAF complex component	53335	https://www.ncbi.nlm.nih.gov/gene/?term=53335
ENSG00000151655	ITIH2	inter-alpha-trypsin inhibitor heavy chain 2	3698	https://www.ncbi.nlm.nih.gov/gene/?term=3698
ENSG00000177565	TBL1XR1	transducin beta like 1 X-linked receptor 1	79718	https://www.ncbi.nlm.nih.gov/gene/?term=79718
ENSG00000112893	MAN2A1	mannosidase alpha class 2A member 1	4124	https://www.ncbi.nlm.nih.gov/gene/?term=4124
ENSG00000146950	SHROOM2	shroom family member 2	357	https://www.ncbi.nlm.nih.gov/gene/?term=357
ENSG00000142227	EMP3	epithelial membrane protein 3	2014	https://www.ncbi.nlm.nih.gov/gene/?term=2014
ENSG00000011523	CEP68	centrosomal protein 68	23177	https://www.ncbi.nlm.nih.gov/gene/?term=23177
ENSG00000128309	MPST	mercaptopyruvate sulfurtransferase	4357	https://www.ncbi.nlm.nih.gov/gene/?term=4357
ENSG00000148908	RGS10	regulator of G protein signaling 10	6001	https://www.ncbi.nlm.nih.gov/gene/?term=6001
ENSG00000072110	ACTN1	actinin alpha 1	87	https://www.ncbi.nlm.nih.gov/gene/?term=87
ENSG00000171858	RPS21	ribosomal protein S21	6227	https://www.ncbi.nlm.nih.gov/gene/?term=6227
ENSG00000100242	SUN2	Sad1 and UNC84 domain containing 2	25777	https://www.ncbi.nlm.nih.gov/gene/?term=25777
ENSG00000143850	PLEKHA6	pleckstrin homology domain containing A6	22874	https://www.ncbi.nlm.nih.gov/gene/?term=22874
ENSG00000015475	BID	BH3 interacting domain death agonist	637	https://www.ncbi.nlm.nih.gov/gene/?term=637
ENSG00000152558	TMEM123	transmembrane protein 123	114908	https://www.ncbi.nlm.nih.gov/gene/?term=114908
ENSG00000060982	BCAT1	branched chain amino acid transaminase 1	586	https://www.ncbi.nlm.nih.gov/gene/?term=586
ENSG00000118292	C1orf54	chromosome 1 open reading frame 54	79630	https://www.ncbi.nlm.nih.gov/gene/?term=79630
ENSG00000142669	SH3BGRL3	SH3 domain binding glutamate rich protein like 3	83442	https://www.ncbi.nlm.nih.gov/gene/?term=83442
ENSG00000128641	MYO1B	myosin IB	4430	https://www.ncbi.nlm.nih.gov/gene/?term=4430
ENSG00000138376	BARD1	BRCA1 associated RING domain 1	580	https://www.ncbi.nlm.nih.gov/gene/?term=580
ENSG00000152253	SPC25	SPC25, NDC80 kinetochore complex component	57405	https://www.ncbi.nlm.nih.gov/gene/?term=57405
ENSG00000106665	CLIP2	CAP-Gly domain containing linker protein 2	7461	https://www.ncbi.nlm.nih.gov/gene/?term=7461
ENSG00000153250	RBMS1	RNA binding motif single stranded interacting protein 1	5937	https://www.ncbi.nlm.nih.gov/gene/?term=5937
ENSG00000160691	SHC1	SHC adaptor protein 1	6464	https://www.ncbi.nlm.nih.gov/gene/?term=6464
ENSG00000159713	TPPP3	tubulin polymerization promoting protein family member 3	51673	https://www.ncbi.nlm.nih.gov/gene/?term=51673
ENSG00000071054	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	9448	https://www.ncbi.nlm.nih.gov/gene/?term=9448
ENSG00000128482	RNF112	ring finger protein 112	7732	https://www.ncbi.nlm.nih.gov/gene/?term=7732
ENSG00000136068	FLNB	filamin B	2317	https://www.ncbi.nlm.nih.gov/gene/?term=2317
ENSG00000160753	RUSC1	RUN and SH3 domain containing 1	23623	https://www.ncbi.nlm.nih.gov/gene/?term=23623
ENSG00000176046	NUPR1	nuclear protein 1, transcriptional regulator	26471	https://www.ncbi.nlm.nih.gov/gene/?term=26471
ENSG00000198561	CTNND1	catenin delta 1	1500	https://www.ncbi.nlm.nih.gov/gene/?term=1500
ENSG00000198561	TMX2-CTNND1	TMX2-CTNND1 readthrough (NMD candidate)	100528016	https://www.ncbi.nlm.nih.gov/gene/?term=100528016
ENSG00000173404	INSM1	INSM transcriptional repressor 1	3642	https://www.ncbi.nlm.nih.gov/gene/?term=3642
ENSG00000186132	C2orf76	chromosome 2 open reading frame 76	130355	https://www.ncbi.nlm.nih.gov/gene/?term=130355
ENSG00000163430	FSTL1	follistatin like 1	11167	https://www.ncbi.nlm.nih.gov/gene/?term=11167
ENSG00000103460	TOX3	TOX high mobility group box family member 3	27324	https://www.ncbi.nlm.nih.gov/gene/?term=27324
ENSG00000198142	SOWAHC	sosondowah ankyrin repeat domain family member C	65124	https://www.ncbi.nlm.nih.gov/gene/?term=65124
ENSG00000250722	SELENOP	selenoprotein P	6414	https://www.ncbi.nlm.nih.gov/gene/?term=6414
ENSG00000004399	PLXND1	plexin D1	23129	https://www.ncbi.nlm.nih.gov/gene/?term=23129
ENSG00000101158	NELFCD	negative elongation factor complex member C/D	51497	https://www.ncbi.nlm.nih.gov/gene/?term=51497
ENSG00000105971	CAV2	caveolin 2	858	https://www.ncbi.nlm.nih.gov/gene/?term=858
ENSG00000145428	RNF175	ring finger protein 175	285533	https://www.ncbi.nlm.nih.gov/gene/?term=285533
ENSG00000135116	HRK	harakiri, BCL2 interacting protein	8739	https://www.ncbi.nlm.nih.gov/gene/?term=8739
ENSG00000163661	PTX3	pentraxin 3	5806	https://www.ncbi.nlm.nih.gov/gene/?term=5806
ENSG00000034152	MAP2K3	mitogen-activated protein kinase kinase 3	5606	https://www.ncbi.nlm.nih.gov/gene/?term=5606
ENSG00000184897	H1FX	H1 histone family member X	8971	https://www.ncbi.nlm.nih.gov/gene/?term=8971
ENSG00000153048	CARHSP1	calcium regulated heat stable protein 1	23589	https://www.ncbi.nlm.nih.gov/gene/?term=23589
ENSG00000169760	NLGN1	neuroligin 1	22871	https://www.ncbi.nlm.nih.gov/gene/?term=22871
ENSG00000115694	STK25	serine/threonine kinase 25	10494	https://www.ncbi.nlm.nih.gov/gene/?term=10494
ENSG00000196975	ANXA4	annexin A4	307	https://www.ncbi.nlm.nih.gov/gene/?term=307
ENSG00000163781	TOPBP1	DNA topoisomerase II binding protein 1	11073	https://www.ncbi.nlm.nih.gov/gene/?term=11073
ENSG00000158164	TMSB15A	thymosin beta 15a	11013	https://www.ncbi.nlm.nih.gov/gene/?term=11013
ENSG00000158164	TMSB15B	thymosin beta 15B	286527	https://www.ncbi.nlm.nih.gov/gene/?term=286527
ENSG00000065809	FAM107B	family with sequence similarity 107 member B	83641	https://www.ncbi.nlm.nih.gov/gene/?term=83641
ENSG00000182899	RPL35A	ribosomal protein L35a	6165	https://www.ncbi.nlm.nih.gov/gene/?term=6165
ENSG00000143878	RHOB	ras homolog family member B	388	https://www.ncbi.nlm.nih.gov/gene/?term=388
ENSG00000115504	EHBP1	EH domain binding protein 1	23301	https://www.ncbi.nlm.nih.gov/gene/?term=23301
ENSG00000154640	BTG3	BTG anti-proliferation factor 3	10950	https://www.ncbi.nlm.nih.gov/gene/?term=10950
ENSG00000078246	TULP3	tubby like protein 3	7289	https://www.ncbi.nlm.nih.gov/gene/?term=7289
