userid	genesymbol	genename	entrezgene
ENSDARG00000056128	fastkd1	FAST kinase domains 1	100148546
ENSDARG00000070331	muc5.1	mucin 5.1, oligomeric mucus/gel-forming	100148804
ENSDARG00000042090	si:ch73-55i23.1	si:ch73-55i23.1	100148818
ENSDARG00000089463	dhx58	DEXH (Asp-Glu-X-His) box polypeptide 58	100148871
ENSDARG00000055900	zswim5	zinc finger, SWIM-type containing 5	100149522
ENSDARG00000003495	madd	MAP-kinase activating death domain	100150917
ENSDARG00000092677	coa6	cytochrome c oxidase assembly factor 6	100150991
ENSDARG00000089204	si:dkey-206d17.5	si:dkey-206d17.5	100190889
ENSDARG00000078389	si:dkey-188i13.7	si:dkey-188i13.7	100302471
ENSDARG00000075421	pttg1	pituitary tumor-transforming 1	100307086
ENSDARG00000040027	osbpl10	oxysterol binding protein-like 10	100319820
ENSDARG00000102956	mmp17b	matrix metallopeptidase 17b	100322027
ENSDARG00000087555	si:ch73-308l14.2	si:ch73-308l14.2	100329277
ENSDARG00000086881	NA	immediate early response 2	100331484
ENSDARG00000102829	cobll1b	cordon-bleu WH2 repeat protein-like 1b	100332245
ENSDARG00000100446	si:ch211-286o17.1	si:ch211-286o17.1	100332904
ENSDARG00000096306	si:ch1073-342h5.2	si:ch1073-342h5.2	100333617
ENSDARG00000067517	ccdc15	coiled-coil domain containing 15	100333818
ENSDARG00000090191	psmg4	proteasome (prosome, macropain) assembly chaperone 4	100333944
ENSDARG00000091967	si:ch73-376l24.6	si:ch73-376l24.6	100334190
ENSDARG00000073773	tti2	TELO2 interacting protein 2	100334230
ENSDARG00000100582	si:ch211-195b11.3	si:ch211-195b11.3	100334344
ENSDARG00000016774	plekho2	pleckstrin homology domain containing, family O member 2	100334463
ENSDARG00000100946	si:ch211-212k18.9	si:ch211-212k18.9	100334500
ENSDARG00000061899	iqub	IQ motif and ubiquitin domain containing	100334576
ENSDARG00000075857	pgs1	phosphatidylglycerophosphate synthase 1	100534896
ENSDARG00000094729	apela	apelin receptor early endogenous ligand	100536023
ENSDARG00000089549	si:ch211-101l18.9	si:ch211-101l18.9	100536942
ENSDARG00000076520	mafb	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog b (paralog b)	100537332
ENSDARG00000089598	LOC100537687	si:cabz01054396.2	100537687
ENSDARG00000100624	LOC100537698	si:cabz01066312.1	100537698
ENSDARG00000094695	si:dkey-204f11.64	si:dkey-204f11.64	100537752
ENSDARG00000099936	nlrc3l	NLR family, CARD domain containing 3-like	100538217
ENSDARG00000057907	si:ch73-181d5.4	si:ch73-181d5.4	100538306
ENSDARG00000097772	si:ch211-185a18.2	si:ch211-185a18.2	100884142
ENSDARG00000096359	eppk1	epiplakin 1	101885652
ENSDARG00000053800	LOC103908606	zinc finger protein 239-like	103908606
ENSDARG00000079150	si:ch211-276i12.9	si:ch211-276i12.9	103908774
ENSDARG00000101110	NA	LYR motif containing 4	103909737
ENSDARG00000092327	si:dkeyp-2e4.7	si:dkeyp-2e4.7	108191950
ENSDARG00000007723	efnb1	ephrin-B1	114377
ENSDARG00000042277	efnb3b	ephrin-B3b	114378
ENSDARG00000008434	bcl2l1	bcl2-like 1	114401
ENSDARG00000102750	cdh1	cadherin 1, type 1, E-cadherin (epithelial)	114424
ENSDARG00000013207	zeb1b	zinc finger E-box binding homeobox 1b	114425
ENSDARG00000044575	vars	valyl-tRNA synthetase	114427
ENSDARG00000068732	spry4	sprouty homolog 4 (Drosophila)	114437
ENSDARG00000041959	cxcr4b	chemokine (C-X-C motif), receptor 4b	114447
ENSDARG00000021252	cct6a	chaperonin containing TCP1, subunit 6A (zeta 1)	116994
ENSDARG00000042667	klf2a	Kruppel-like factor 2a	117508
ENSDARG00000040432	klf2b	Kruppel-like factor 2b	117509
ENSDARG00000013168	jag1b	jagged 1b	140423
ENSDARG00000077467	sox10	SRY (sex determining region Y)-box 10	140616
ENSDARG00000017905	casp3a	caspase 3, apoptosis-related cysteine peptidase a	140621
ENSDARG00000013968	psap	prosaposin	140811
ENSDARG00000036074	cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	140815
ENSDARG00000037017	ube4b	ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)	170784
ENSDARG00000019398	psma6a	proteasome subunit alpha 6a	171585
ENSDARG00000011785	tbx6	T-box 6	192294
ENSDARG00000015427	hdac1	histone deacetylase 1	192302
ENSDARG00000012399	adssl	adenylosuccinate synthase, like	192305
ENSDARG00000025012	tpi1a	triosephosphate isomerase 1a	192309
ENSDARG00000017762	srrt	serrate RNA effector molecule homolog (Arabidopsis)	192311
ENSDARG00000003527	mak16	MAK16 homolog (S. cerevisiae)	192312
ENSDARG00000070828	actl6a	actin-like 6A	192313
ENSDARG00000007385	cct7	chaperonin containing TCP1, subunit 7 (eta)	192324
ENSDARG00000014898	ncbp2	nuclear cap binding protein subunit 2	192325
ENSDARG00000016173	cct3	chaperonin containing TCP1, subunit 3 (gamma)	192327
ENSDARG00000009871	snrpc	small nuclear ribonucleoprotein polypeptide C	192330
ENSDARG00000011648	snrpd1	small nuclear ribonucleoprotein D1 polypeptide	192331
ENSDARG00000001939	b3gat3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	192334
ENSDARG00000005699	ddx19	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homolog, yeast)	192339
ENSDARG00000098312	scarb2	scavenger receptor class B, member 2	192340
ENSDARG00000044299	lmnb1	lamin B1	195816
ENSDARG00000037153	atp6ap1b	ATPase, H+ transporting, lysosomal accessory protein 1b	195824
ENSDARG00000021339	cpa5	carboxypeptidase A5	246092
ENSDARG00000020072	thbs4b	thrombospondin 4b	252850
ENSDARG00000071403	oaz1a	ornithine decarboxylase antizyme 1a	259192
ENSDARG00000103308	mst1	macrophage stimulating 1	259260
ENSDARG00000021172	cyp2ad2	cytochrome P450, family 2, subfamily AD, polypeptide 2	259306
ENSDARG00000044356	tp63	tumor protein p63	260407
ENSDARG00000103383	dnah9	dynein, axonemal, heavy polypeptide 9	266676
ENSDARG00000102096	adra2b	adrenoceptor alpha 2B	266751
ENSDARG00000091277	adra2da	adrenergic, alpha-2D-, receptor a	266754
ENSDARG00000054667	adra2db	adrenergic, alpha-2D-, receptor b	266755
ENSDARG00000005675	sec61a1l	Sec61 translocon alpha 1 subunit, like	266796
ENSDARG00000102896	jmjd6	jumonji domain containing 6	266962
ENSDARG00000014329	npm1a	nucleophosmin 1a (nucleolar phosphoprotein B23, numatrin)	266985
ENSDARG00000043976	etf1b	eukaryotic translation termination factor 1b	266989
ENSDARG00000037109	pwp2h	PWP2 periodic tryptophan protein homolog (yeast)	266990
ENSDARG00000029072	klf6a	Kruppel-like factor 6a	280650
ENSDARG00000052348	smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	282615
ENSDARG00000056160	hspd1	heat shock 60 protein 1	282676
ENSDARG00000045155	phf5a	PHD finger protein 5A	286774
ENSDARG00000012113	c19h1orf109	c19h1orf109 homolog (H. sapiens)	286778
ENSDARG00000010770	sox19a	SRY (sex determining region Y)-box 19a	30038
ENSDARG00000035326	nccrp1	non-specific cytotoxic cell receptor protein 1	30078
ENSDARG00000052856	khdrbs1a	KH domain containing, RNA binding, signal transduction associated 1a	30082
ENSDARG00000013505	ube2kb	ubiquitin-conjugating enzyme E2Kb (UBC1 homolog, yeast)	30100
ENSDARG00000071208	wnt4a	wingless-type MMTV integration site family, member 4a	30123
ENSDARG00000011703	clocka	clock circadian regulator a	30140
ENSDARG00000006911	wnt8b	wingless-type MMTV integration site family, member 8b	30144
ENSDARG00000025641	gli2a	GLI family zinc finger 2a	30154
ENSDARG00000102470	mpp7a	membrane protein, palmitoylated 7a (MAGUK p55 subfamily member 7)	30166
ENSDARG00000003487	nup93	nucleoporin 93	30172
ENSDARG00000018968	acvr1ba	activin A receptor, type IBa	30183
ENSDARG00000022531	ntn1b	netrin 1b	30192
ENSDARG00000026531	alcama	activated leukocyte cell adhesion molecule a	30194
ENSDARG00000002952	smo	smoothened, frizzled class receptor	30225
ENSDARG00000026599	eng2a	engrailed homeobox 2a	30243
ENSDARG00000019235	sema3aa	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Aa	30266
ENSDARG00000013087	ndrg3a	ndrg family member 3a	30286
ENSDARG00000006514	her6	hairy-related 6	30288
ENSDARG00000002193	rho	rhodopsin	30295
ENSDARG00000104808	jak2a	Janus kinase 2a	30307
ENSDARG00000010591	foxn4	forkhead box N4	30315
ENSDARG00000011166	cahz	carbonic anhydrase	30331
ENSDARG00000095019	lmo2	LIM domain only 2 (rhombotin-like 1)	30332
ENSDARG00000056012	eve1	even-skipped-like1	30335
ENSDARG00000025420	fzd5	frizzled class receptor 5	30364
ENSDARG00000038225	nras	neuroblastoma RAS viral (v-ras) oncogene homolog	30380
ENSDARG00000070787	jupa	junction plakoglobin a	30415
ENSDARG00000052695	nr2f1a	nuclear receptor subfamily 2, group F, member 1a	30418
ENSDARG00000036254	hoxa13b	homeobox A13b	30438
ENSDARG00000020890	tmod4	tropomodulin 4 (muscle)	30441
ENSDARG00000030703	otx1a	orthodenticle homeobox 1a	30462
ENSDARG00000024844	max	myc associated factor X	30467
ENSDARG00000097478	qkia	QKI, KH domain containing, RNA binding a	30471
ENSDARG00000040321	rx2	retinal homeobox gene 2	30473
ENSDARG00000013477	gata1a	GATA binding protein 1a	30481
ENSDARG00000038159	tcf7l1a	transcription factor 7-like 1a (T-cell specific, HMG-box)	30523
ENSDARG00000020417	emx3	empty spiracles homeobox 3	30536
ENSDARG00000004586	ntrk1	neurotrophic tyrosine kinase, receptor, type 1	30546
ENSDARG00000007369	tcf7l1b	transcription factor 7-like 1b (T-cell specific, HMG-box)	30556
ENSDARG00000014626	dlx3b	distal-less homeobox 3b	30585
ENSDARG00000027199	smad1	SMAD family member 1	30628
ENSDARG00000033443	mdm2	MDM2 oncogene, E3 ubiquitin protein ligase	30637
ENSDARG00000004616	mtmr2	myotubularin related protein 2	30644
ENSDARG00000012234	psme3	proteasome activator subunit 3	30649
ENSDARG00000018418	pth1rb	parathyroid hormone 1 receptor b	30651
ENSDARG00000004932	anos1b	anosmin 1b	30652
ENSDARG00000017354	epha2a	eph receptor A2 a	30689
ENSDARG00000031894	lef1	lymphoid enhancer-binding factor 1	30701
ENSDARG00000011027	fgfr1a	fibroblast growth factor receptor 1a	30705
ENSDARG00000006963	cse1l	CSE1 chromosome segregation 1-like (yeast)	30707
ENSDARG00000018643	igf2a	insulin-like growth factor 2a	30710
ENSDARG00000005780	npy8br	neuropeptide Y receptor Y8b	30713
ENSDARG00000040059	gbp	glycogen synthase kinase binding protein	30719
ENSDARG00000038695	elavl1	ELAV like RNA binding protein 1	30736
ENSDARG00000034541	tgfbr2	transforming growth factor, beta receptor II	30739
ENSDARG00000104100	bmpr1ba	bone morphogenetic protein receptor, type IBa	30742
ENSDARG00000019930	tal1	T-cell acute lymphocytic leukemia 1	30766
ENSDARG00000010266	igf2bp3	insulin-like growth factor 2 mRNA binding protein 3	30967
ENSDARG00000099351	igfbp1a	insulin-like growth factor binding protein 1a	317638
ENSDARG00000005772	tsr2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)	317639
ENSDARG00000040666	nifk	nucleolar protein interacting with the FHA domain of MKI67	317644
ENSDARG00000002591	ruvbl1	RuvB-like AAA ATPase 1	317679
ENSDARG00000008816	glud1a	glutamate dehydrogenase 1a	317737
ENSDARG00000022232	ppan	peter pan homolog (Drosophila)	317739
ENSDARG00000011079	wdr3	WD repeat domain 3	321058
ENSDARG00000023299	snu13b	SNU13 homolog, small nuclear ribonucleoprotein b (U4/U6.U5)	321114
ENSDARG00000033539	paics	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	321193
ENSDARG00000037960	lrrc17	leucine rich repeat containing 17	321202
ENSDARG00000071697	zgc:66433	zgc:66433	321250
ENSDARG00000005454	tacc3	transforming, acidic coiled-coil containing protein 3	321283
ENSDARG00000002487	noc3l	NOC3-like DNA replication regulator	321289
ENSDARG00000057414	phb	prohibitin	321346
ENSDARG00000074161	tnrc6b	trinucleotide repeat containing 6b	321362
ENSDARG00000029544	id2b	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein, b	321364
ENSDARG00000039215	arrb2a	arrestin, beta 2a	321378
ENSDARG00000071586	tgfbi	transforming growth factor, beta-induced	321421
ENSDARG00000036102	ctdsp2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	321465
ENSDARG00000007960	hnrnpaba	heterogeneous nuclear ribonucleoprotein A/Ba	321466
ENSDARG00000005551	hnrnph1l	heterogeneous nuclear ribonucleoprotein H1, like	321556
ENSDARG00000053691	maea	macrophage erythroblast attacher	321575
ENSDARG00000003287	wdr12	WD repeat domain 12	321652
ENSDARG00000037837	ogfr	opioid growth factor receptor	321658
ENSDARG00000033597	api5	apoptosis inhibitor 5	321676
ENSDARG00000026767	nol11	nucleolar protein 11	321700
ENSDARG00000011999	ybey	ybeY metallopeptidase	321718
ENSDARG00000029058	rbbp4	retinoblastoma binding protein 4	321726
ENSDARG00000040287	ywhabl	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide like	321729
ENSDARG00000003235	nup88	nucleoporin 88	321744
ENSDARG00000059337	tgif1	TGFB-induced factor homeobox 1	321756
ENSDARG00000074057	calm3b	calmodulin 3b (phosphorylase kinase, delta)	321808
ENSDARG00000016132	keap1a	kelch-like ECH-associated protein 1a	321837
ENSDARG00000014244	rbmx	RNA binding motif protein, X-linked	321860
ENSDARG00000105177	ilf3b	interleukin enhancer binding factor 3b	321868
ENSDARG00000006219	gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	321897
ENSDARG00000052377	psmd12	proteasome 26S subunit, non-ATPase 12	321898
ENSDARG00000100317	ahsa1b	AHA1, activator of heat shock protein ATPase homolog 1b	321945
ENSDARG00000010246	prmt1	protein arginine methyltransferase 1	321974
ENSDARG00000090309	ubxn1	UBX domain protein 1	322073
ENSDARG00000013655	tpd52l2b	tumor protein D52-like 2b	322103
ENSDARG00000013623	vdac2	voltage-dependent anion channel 2	322126
ENSDARG00000042864	rpl7l1	ribosomal protein L7-like 1	322251
ENSDARG00000045399	cct5	chaperonin containing TCP1, subunit 5 (epsilon)	322258
ENSDARG00000021494	hnf4a	hepatocyte nuclear factor 4, alpha	322358
ENSDARG00000012458	zgc:77849	zgc:77849	322387
ENSDARG00000101127	map1lc3b	microtubule-associated protein 1 light chain 3 beta	322425
ENSDARG00000016412	agt	angiotensinogen	322485
ENSDARG00000010250	nqo1	NAD(P)H dehydrogenase, quinone 1	322506
ENSDARG00000041110	dnajc3a	DnaJ (Hsp40) homolog, subfamily C, member 3a	322544
ENSDARG00000092112	tomm40	translocase of outer mitochondrial membrane 40 homolog (yeast)	322645
ENSDARG00000011521	upb1	ureidopropionase, beta	322660
ENSDARG00000089260	dus1l	dihydrouridine synthase 1-like (S. cerevisiae)	322715
ENSDARG00000008461	anapc5	anaphase promoting complex subunit 5	322854
ENSDARG00000041896	dnajc5ga	DnaJ (Hsp40) homolog, subfamily C, member 5 gamma a	322863
ENSDARG00000017454	nup50	nucleoporin 50	322969
ENSDARG00000008803	marcksb	myristoylated alanine-rich protein kinase C substrate b	323201
ENSDARG00000040224	krcp	kelch repeat-containing protein	323406
ENSDARG00000012495	mphosph10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	323426
ENSDARG00000104431	slc1a3a	solute carrier family 1 (glial high affinity glutamate transporter), member 3a	323439
ENSDARG00000026476	tia1l	cytotoxic granule-associated RNA binding protein 1, like	323447
ENSDARG00000015352	lsg1	large 60S subunit nuclear export GTPase 1	323464
ENSDARG00000103981	bhlha9	basic helix-loop-helix family, member a9	323481
ENSDARG00000020258	ewsr1a	EWS RNA-binding protein 1a	323597
ENSDARG00000070435	vapb	VAMP (vesicle-associated membrane protein)-associated protein B and C	323628
ENSDARG00000056184	dvl2	dishevelled segment polarity protein 2	323630
ENSDARG00000021443	zfp36l1b	zinc finger protein 36, C3H type-like 1b	323671
ENSDARG00000003213	naa15a	N(alpha)-acetyltransferase 15, NatA auxiliary subunit a	323672
ENSDARG00000073997	srpk1a	SRSF protein kinase 1a	323679
ENSDARG00000103893	srsf2b	serine/arginine-rich splicing factor 2b	323700
ENSDARG00000006497	rtn1a	reticulon 1a	323706
ENSDARG00000104223	lmbrd1	LMBR1 domain containing 1	323720
ENSDARG00000052518	stx4	syntaxin 4	323735
ENSDARG00000001890	stt3b	STT3B, subunit of the oligosaccharyltransferase complex (catalytic)	323918
ENSDARG00000056127	polr2gl	polymerase (RNA) II (DNA directed) polypeptide G-like	324088
ENSDARG00000018890	snrpa	small nuclear ribonucleoprotein polypeptide A	324121
ENSDARG00000026070	cd82b	CD82 molecule b	324137
ENSDARG00000027183	namptb	nicotinamide phosphoribosyltransferase b	324211
ENSDARG00000075682	orc6	origin recognition complex, subunit 6	324256
ENSDARG00000053047	eif2s2	eukaryotic translation initiation factor 2, subunit 2 beta	324365
ENSDARG00000042533	gstm.1	glutathione S-transferase mu, tandem duplicate 1	324366
ENSDARG00000045129	fkbp10b	FK506 binding protein 10b	324381
ENSDARG00000004060	bhlhe40	basic helix-loop-helix family, member e40	324413
ENSDARG00000058660	ilf3a	interleukin enhancer binding factor 3a	324431
ENSDARG00000027649	cpsf3	cleavage and polyadenylation specific factor 3	324554
ENSDARG00000004891	pex19	peroxisomal biogenesis factor 19	324778
ENSDARG00000001969	txlng	taxilin gamma	324984
ENSDARG00000007744	tsr1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	325037
ENSDARG00000002720	utp15	utp15, U3 small nucleolar ribonucleoprotein, homolog	325106
ENSDARG00000000568	ell	elongation factor RNA polymerase II	325221
ENSDARG00000035507	ddx31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31	325248
ENSDARG00000055291	rab18a	RAB18A, member RAS oncogene family	325255
ENSDARG00000056665	nsun2	NOP2/Sun RNA methyltransferase family, member 2	325292
ENSDARG00000036577	atp6v0cb	ATPase, H+ transporting, lysosomal, V0 subunit cb	325402
ENSDARG00000042522	katnbl1	katanin p80 subunit B-like 1	325430
ENSDARG00000037361	kdelr2b	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2b	325464
ENSDARG00000044404	pars2	prolyl-tRNA synthetase 2, mitochondrial (putative)	325494
ENSDARG00000006225	ddx39aa	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Aa	325550
ENSDARG00000003216	anxa2a	annexin A2a	325557
ENSDARG00000009106	serinc1	serine incorporator 1	325690
ENSDARG00000014915	ndufab1b	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1b	325712
ENSDARG00000102070	tbc1d10aa	TBC1 domain family, member 10Aa	325772
ENSDARG00000025693	tmem9b	TMEM9 domain family, member B	325931
ENSDARG00000040799	sst1.1	somatostatin 1, tandem duplicate 1	326018
ENSDARG00000013031	mta2	metastasis associated 1 family, member 2	326078
ENSDARG00000029019	epb41b	erythrocyte membrane protein band 4.1b	326287
ENSDARG00000008740	esf1	ESF1, nucleolar pre-rRNA processing protein, homolog (S. cerevisiae)	326718
ENSDARG00000063646	lnpa	limb and neural patterns a	326761
ENSDARG00000036060	exosc6	exosome component 6	326786
ENSDARG00000027099	psmc4	proteasome 26S subunit, ATPase 4	326884
ENSDARG00000087331	si:dkey-77f5.3	si:dkey-77f5.3	326903
ENSDARG00000037291	dpf2l	D4, zinc and double PHD fingers family 2, like	326933
ENSDARG00000067639	prpf4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	326944
ENSDARG00000099663	cox5ab	cytochrome c oxidase subunit Vab	326962
ENSDARG00000011841	atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	326977
ENSDARG00000015853	rnps1	RNA binding protein S1, serine-rich domain	327020
ENSDARG00000013478	rrp15	ribosomal RNA processing 15 homolog	327053
ENSDARG00000032373	rnf145b	ring finger protein 145b	327056
ENSDARG00000018618	cpsf6	cleavage and polyadenylation specific factor 6	327069
ENSDARG00000010437	fam46c	family with sequence similarity 46, member C	327154
ENSDARG00000053152	pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	327176
ENSDARG00000055885	tex10	testis expressed 10	327196
ENSDARG00000102874	immt	inner membrane protein, mitochondrial (mitofilin)	327206
ENSDARG00000003931	cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	327288
ENSDARG00000045130	klhl11	kelch-like family member 11	327313
ENSDARG00000102417	psmd7	proteasome 26S subunit, non-ATPase 7	327330
ENSDARG00000074715	stk17a	serine/threonine kinase 17a	327345
ENSDARG00000058461	ice1	KIAA0947-like (H. sapiens)	327355
ENSDARG00000041565	tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	327399
ENSDARG00000043873	arid4a	AT rich interactive domain 4A (RBP1-like)	327404
ENSDARG00000025953	rhoq	ras homolog family member Q	327510
ENSDARG00000079994	wu:fi15d04	wu:fi15d04	327519
ENSDARG00000004306	klhl18	kelch-like family member 18	327574
ENSDARG00000098296	gnsb	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID), b	327635
ENSDARG00000018953	gclm	glutamate-cysteine ligase, modifier subunit	333974
ENSDARG00000032469	ampd3b	adenosine monophosphate deaminase 3b	333997
ENSDARG00000074790	c23h20orf24	c23h20orf24 homolog (H. sapiens)	334006
ENSDARG00000077847	olfm2a	olfactomedin 2a	334035
ENSDARG00000023028	cdv3	carnitine deficiency-associated gene expressed in ventricle 3	334102
ENSDARG00000022456	eno1a	enolase 1a, (alpha)	334116
ENSDARG00000017708	lrrc40	leucine rich repeat containing 40	334130
ENSDARG00000054963	alg1	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	334161
ENSDARG00000018426	aldh7a1	aldehyde dehydrogenase 7 family, member A1	334197
ENSDARG00000013946	ivns1abpb	influenza virus NS1A binding protein b	334334
ENSDARG00000058566	wu:fi42h12	wu:fi42h12	334358
ENSDARG00000059711	nol6	nucleolar protein 6 (RNA-associated)	334362
ENSDARG00000044090	zmpste24	zinc metallopeptidase, STE24 homolog	334380
ENSDARG00000017835	brf1a	BRF1, RNA polymerase III transcription initiation factor a	334402
ENSDARG00000008200	ugp2b	UDP-glucose pyrophosphorylase 2b	334420
ENSDARG00000029931	atp13a1	ATPase type 13A1	334466
ENSDARG00000037872	foxk1	forkhead box K1	334470
ENSDARG00000004735	hnrnpub	heterogeneous nuclear ribonucleoprotein Ub	334490
ENSDARG00000079717	rbm12b	RNA binding motif protein 12B	334496
ENSDARG00000041570	mrpl39	mitochondrial ribosomal protein L39	334588
ENSDARG00000057167	eif4g2b	eukaryotic translation initiation factor 4, gamma 2b	334618
ENSDARG00000074335	boc	BOC cell adhesion associated, oncogene regulated	334628
ENSDARG00000035152	ap2b1	adaptor-related protein complex 2, beta 1 subunit	334632
ENSDARG00000027078	cnppd1	cyclin Pas1/PHO80 domain containing 1	334868
ENSDARG00000005251	rpe	ribulose-5-phosphate-3-epimerase	334897
ENSDARG00000002830	trmt2a	tRNA methyltransferase 2 homolog A	334936
ENSDARG00000036695	calcoco1a	calcium binding and coiled-coil domain 1a	334971
ENSDARG00000069046	wu:fk65c09	wu:fk65c09	335078
