userid	genesymbol	genename	entrezgene
ENSDARG00000061976	sema6bb	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6Bb	100148883
ENSDARG00000103851	tnrc6c2	trinucleotide repeat containing 6C2	100149391
ENSDARG00000055900	zswim5	zinc finger, SWIM-type containing 5	100149522
ENSDARG00000003495	madd	MAP-kinase activating death domain	100150917
ENSDARG00000092677	coa6	cytochrome c oxidase assembly factor 6	100150991
ENSDARG00000078389	si:dkey-188i13.7	si:dkey-188i13.7	100302471
ENSDARG00000075421	pttg1	pituitary tumor-transforming 1	100307086
ENSDARG00000040027	osbpl10	oxysterol binding protein-like 10	100319820
ENSDARG00000097414	si:ch211-106e7.2	si:ch211-106e7.2	100329241
ENSDARG00000087555	si:ch73-308l14.2	si:ch73-308l14.2	100329277
ENSDARG00000100446	si:ch211-286o17.1	si:ch211-286o17.1	100332904
ENSDARG00000090191	psmg4	proteasome (prosome, macropain) assembly chaperone 4	100333944
ENSDARG00000073773	tti2	TELO2 interacting protein 2	100334230
ENSDARG00000059960	plch2	phospholipase C, eta 2a	100334231
ENSDARG00000016774	plekho2	pleckstrin homology domain containing, family O member 2	100334463
ENSDARG00000100946	si:ch211-212k18.9	si:ch211-212k18.9	100334500
ENSDARG00000058038	eml3	echinoderm microtubule associated protein like 3	100533983
ENSDARG00000076520	mafb	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog b (paralog b)	100537332
ENSDARG00000094695	si:dkey-204f11.64	si:dkey-204f11.64	100537752
ENSDARG00000090998	LOC103908660	si:cabz01071911.3	103908660
ENSDARG00000079150	si:ch211-276i12.9	si:ch211-276i12.9	103908774
ENSDARG00000008434	bcl2l1	bcl2-like 1	114401
ENSDARG00000008982	casq2	calsequestrin 2	114410
ENSDARG00000102750	cdh1	cadherin 1, type 1, E-cadherin (epithelial)	114424
ENSDARG00000013207	zeb1b	zinc finger E-box binding homeobox 1b	114425
ENSDARG00000044575	vars	valyl-tRNA synthetase	114427
ENSDARG00000068732	spry4	sprouty homolog 4 (Drosophila)	114437
ENSDARG00000041959	cxcr4b	chemokine (C-X-C motif), receptor 4b	114447
ENSDARG00000042667	klf2a	Kruppel-like factor 2a	117508
ENSDARG00000040432	klf2b	Kruppel-like factor 2b	117509
ENSDARG00000015472	gpc4	glypican 4	118437
ENSDARG00000013168	jag1b	jagged 1b	140423
ENSDARG00000077467	sox10	SRY (sex determining region Y)-box 10	140616
ENSDARG00000017905	casp3a	caspase 3, apoptosis-related cysteine peptidase a	140621
ENSDARG00000036074	cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	140815
ENSDARG00000019398	psma6a	proteasome subunit alpha 6a	171585
ENSDARG00000034785	dachb	dachshund b	192122
ENSDARG00000043453	rps5	ribosomal protein S5	192297
ENSDARG00000021669	sec61a1	Sec61 translocon alpha 1 subunit	192298
ENSDARG00000007385	cct7	chaperonin containing TCP1, subunit 7 (eta)	192324
ENSDARG00000014898	ncbp2	nuclear cap binding protein subunit 2	192325
ENSDARG00000016173	cct3	chaperonin containing TCP1, subunit 3 (gamma)	192327
ENSDARG00000011648	snrpd1	small nuclear ribonucleoprotein D1 polypeptide	192331
ENSDARG00000005699	ddx19	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homolog, yeast)	192339
ENSDARG00000037153	atp6ap1b	ATPase, H+ transporting, lysosomal accessory protein 1b	195824
ENSDARG00000021339	cpa5	carboxypeptidase A5	246092
ENSDARG00000020072	thbs4b	thrombospondin 4b	252850
ENSDARG00000071403	oaz1a	ornithine decarboxylase antizyme 1a	259192
ENSDARG00000021172	cyp2ad2	cytochrome P450, family 2, subfamily AD, polypeptide 2	259306
ENSDARG00000044356	tp63	tumor protein p63	260407
ENSDARG00000005675	sec61a1l	Sec61 translocon alpha 1 subunit, like	266796
ENSDARG00000014329	npm1a	nucleophosmin 1a (nucleolar phosphoprotein B23, numatrin)	266985
ENSDARG00000029072	klf6a	Kruppel-like factor 6a	280650
ENSDARG00000052348	smarca5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	282615
ENSDARG00000002731	sdc2	syndecan 2	282667
ENSDARG00000090912	npc2	Niemann-Pick disease, type C2	282673
ENSDARG00000056160	hspd1	heat shock 60 protein 1	282676
ENSDARG00000045155	phf5a	PHD finger protein 5A	286774
ENSDARG00000017696	diexf	digestive organ expansion factor homolog	286787
ENSDARG00000016153	dag1	dystroglycan 1	286829
ENSDARG00000021948	tnc	tenascin C	30037
ENSDARG00000012671	inhbaa	inhibin, beta Aa	30072
ENSDARG00000052856	khdrbs1a	KH domain containing, RNA binding, signal transduction associated 1a	30082
ENSDARG00000035327	ckma	creatine kinase, muscle a	30095
ENSDARG00000013505	ube2kb	ubiquitin-conjugating enzyme E2Kb (UBC1 homolog, yeast)	30100
ENSDARG00000025641	gli2a	GLI family zinc finger 2a	30154
ENSDARG00000067544	tcf15	transcription factor 15 (basic helix-loop-helix)	30159
ENSDARG00000102470	mpp7a	membrane protein, palmitoylated 7a (MAGUK p55 subfamily member 7)	30166
ENSDARG00000003487	nup93	nucleoporin 93	30172
ENSDARG00000026531	alcama	activated leukocyte cell adhesion molecule a	30194
ENSDARG00000004870	psen1	presenilin 1	30221
ENSDARG00000002952	smo	smoothened, frizzled class receptor	30225
ENSDARG00000040777	inhbb	inhibin, beta B	30275
ENSDARG00000013087	ndrg3a	ndrg family member 3a	30286
ENSDARG00000006514	her6	hairy-related 6	30288
ENSDARG00000104808	jak2a	Janus kinase 2a	30307
ENSDARG00000033683	tpma	alpha-tropomyosin	30324
ENSDARG00000011166	cahz	carbonic anhydrase	30331
ENSDARG00000095019	lmo2	LIM domain only 2 (rhombotin-like 1)	30332
ENSDARG00000052695	nr2f1a	nuclear receptor subfamily 2, group F, member 1a	30418
ENSDARG00000020890	tmod4	tropomodulin 4 (muscle)	30441
ENSDARG00000024844	max	myc associated factor X	30467
ENSDARG00000097478	qkia	QKI, KH domain containing, RNA binding a	30471
ENSDARG00000013477	gata1a	GATA binding protein 1a	30481
ENSDARG00000019644	ldhba	lactate dehydrogenase Ba	30497
ENSDARG00000007369	tcf7l1b	transcription factor 7-like 1b (T-cell specific, HMG-box)	30556
ENSDARG00000014986	acvr1l	activin A receptor, type I like	30615
ENSDARG00000033443	mdm2	MDM2 oncogene, E3 ubiquitin protein ligase	30637
ENSDARG00000012234	psme3	proteasome activator subunit 3	30649
ENSDARG00000004932	anos1b	anosmin 1b	30652
ENSDARG00000000151	thraa	thyroid hormone receptor alpha a	30670
ENSDARG00000018004	nkx2.5	NK2 homeobox 5	30696
ENSDARG00000011027	fgfr1a	fibroblast growth factor receptor 1a	30705
ENSDARG00000006963	cse1l	CSE1 chromosome segregation 1-like (yeast)	30707
ENSDARG00000018643	igf2a	insulin-like growth factor 2a	30710
ENSDARG00000038695	elavl1	ELAV like RNA binding protein 1	30736
ENSDARG00000019930	tal1	T-cell acute lymphocytic leukemia 1	30766
ENSDARG00000026784	robo1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	30769
ENSDARG00000005645	robo3	roundabout, axon guidance receptor, homolog 3 (Drosophila)	30770
ENSDARG00000099351	igfbp1a	insulin-like growth factor binding protein 1a	317638
ENSDARG00000005772	tsr2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)	317639
ENSDARG00000040666	nifk	nucleolar protein interacting with the FHA domain of MKI67	317644
ENSDARG00000055639	ruvbl2	RuvB-like AAA ATPase 2	317678
ENSDARG00000002591	ruvbl1	RuvB-like AAA ATPase 1	317679
ENSDARG00000008816	glud1a	glutamate dehydrogenase 1a	317737
ENSDARG00000020606	nfe2	nuclear factor, erythroid 2	317765
ENSDARG00000033539	paics	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	321193
ENSDARG00000037960	lrrc17	leucine rich repeat containing 17	321202
ENSDARG00000031907	ptbp1b	polypyrimidine tract binding protein 1b	321220
ENSDARG00000071697	zgc:66433	zgc:66433	321250
ENSDARG00000005454	tacc3	transforming, acidic coiled-coil containing protein 3	321283
ENSDARG00000057414	phb	prohibitin	321346
ENSDARG00000074161	tnrc6b	trinucleotide repeat containing 6b	321362
ENSDARG00000029544	id2b	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein, b	321364
ENSDARG00000012682	pfn2l	profilin 2 like	321383
ENSDARG00000071586	tgfbi	transforming growth factor, beta-induced	321421
ENSDARG00000036102	ctdsp2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	321465
ENSDARG00000005551	hnrnph1l	heterogeneous nuclear ribonucleoprotein H1, like	321556
ENSDARG00000053691	maea	macrophage erythroblast attacher	321575
ENSDARG00000003287	wdr12	WD repeat domain 12	321652
ENSDARG00000033597	api5	apoptosis inhibitor 5	321676
ENSDARG00000016086	smurf1	SMAD specific E3 ubiquitin protein ligase 1	321695
ENSDARG00000011999	ybey	ybeY metallopeptidase	321718
ENSDARG00000040287	ywhabl	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide like	321729
ENSDARG00000059337	tgif1	TGFB-induced factor homeobox 1	321756
ENSDARG00000016132	keap1a	kelch-like ECH-associated protein 1a	321837
ENSDARG00000014244	rbmx	RNA binding motif protein, X-linked	321860
ENSDARG00000105177	ilf3b	interleukin enhancer binding factor 3b	321868
ENSDARG00000010246	prmt1	protein arginine methyltransferase 1	321974
ENSDARG00000020482	nono	non-POU domain containing, octamer-binding	321994
ENSDARG00000013655	tpd52l2b	tumor protein D52-like 2b	322103
ENSDARG00000030716	ing4	inhibitor of growth family, member 4	322113
ENSDARG00000013623	vdac2	voltage-dependent anion channel 2	322126
ENSDARG00000019614	jade3	jade family PHD finger 3	322209
ENSDARG00000045399	cct5	chaperonin containing TCP1, subunit 5 (epsilon)	322258
ENSDARG00000012458	zgc:77849	zgc:77849	322387
ENSDARG00000016412	agt	angiotensinogen	322485
ENSDARG00000010250	nqo1	NAD(P)H dehydrogenase, quinone 1	322506
ENSDARG00000041110	dnajc3a	DnaJ (Hsp40) homolog, subfamily C, member 3a	322544
ENSDARG00000071691	uqcrc2b	ubiquinol-cytochrome c reductase core protein IIb	322549
ENSDARG00000089260	dus1l	dihydrouridine synthase 1-like (S. cerevisiae)	322715
ENSDARG00000075990	acap3a	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3a	322991
ENSDARG00000008803	marcksb	myristoylated alanine-rich protein kinase C substrate b	323201
ENSDARG00000059812	sin3ab	SIN3 transcription regulator family member Ab	323346
ENSDARG00000040224	krcp	kelch repeat-containing protein	323406
ENSDARG00000012495	mphosph10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	323426
ENSDARG00000104431	slc1a3a	solute carrier family 1 (glial high affinity glutamate transporter), member 3a	323439
ENSDARG00000070657	pa2g4b	proliferation-associated 2G4, b	323462
ENSDARG00000015352	lsg1	large 60S subunit nuclear export GTPase 1	323464
ENSDARG00000020258	ewsr1a	EWS RNA-binding protein 1a	323597
ENSDARG00000070435	vapb	VAMP (vesicle-associated membrane protein)-associated protein B and C	323628
ENSDARG00000056184	dvl2	dishevelled segment polarity protein 2	323630
ENSDARG00000003213	naa15a	N(alpha)-acetyltransferase 15, NatA auxiliary subunit a	323672
ENSDARG00000073997	srpk1a	SRSF protein kinase 1a	323679
ENSDARG00000103893	srsf2b	serine/arginine-rich splicing factor 2b	323700
ENSDARG00000006497	rtn1a	reticulon 1a	323706
ENSDARG00000104223	lmbrd1	LMBR1 domain containing 1	323720
ENSDARG00000052518	stx4	syntaxin 4	323735
ENSDARG00000011000	gtf2a1	general transcription factor IIA, 1	323974
ENSDARG00000026070	cd82b	CD82 molecule b	324137
ENSDARG00000027183	namptb	nicotinamide phosphoribosyltransferase b	324211
ENSDARG00000075682	orc6	origin recognition complex, subunit 6	324256
ENSDARG00000036778	hbs1l	HBS1-like translational GTPase	324267
ENSDARG00000053047	eif2s2	eukaryotic translation initiation factor 2, subunit 2 beta	324365
ENSDARG00000045129	fkbp10b	FK506 binding protein 10b	324381
ENSDARG00000004060	bhlhe40	basic helix-loop-helix family, member e40	324413
ENSDARG00000058660	ilf3a	interleukin enhancer binding factor 3a	324431
ENSDARG00000009754	zc3h11a	zinc finger CCCH-type containing 11A	324551
ENSDARG00000004891	pex19	peroxisomal biogenesis factor 19	324778
ENSDARG00000008107	src	v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog	325084
ENSDARG00000002720	utp15	utp15, U3 small nucleolar ribonucleoprotein, homolog	325106
ENSDARG00000000568	ell	elongation factor RNA polymerase II	325221
ENSDARG00000055291	rab18a	RAB18A, member RAS oncogene family	325255
ENSDARG00000036577	atp6v0cb	ATPase, H+ transporting, lysosomal, V0 subunit cb	325402
ENSDARG00000037361	kdelr2b	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2b	325464
ENSDARG00000030448	sppl2	signal peptide peptidase-like 2	325540
ENSDARG00000105287	mpp1	membrane protein, palmitoylated 1	325542
ENSDARG00000006225	ddx39aa	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Aa	325550
ENSDARG00000003216	anxa2a	annexin A2a	325557
ENSDARG00000014915	ndufab1b	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1b	325712
ENSDARG00000102070	tbc1d10aa	TBC1 domain family, member 10Aa	325772
ENSDARG00000025693	tmem9b	TMEM9 domain family, member B	325931
ENSDARG00000013031	mta2	metastasis associated 1 family, member 2	326078
ENSDARG00000040607	rtfdc1	replication termination factor 2 domain containing 1	326100
ENSDARG00000029019	epb41b	erythrocyte membrane protein band 4.1b	326287
ENSDARG00000103980	ets2	v-ets avian erythroblastosis virus E26 oncogene homolog 2	326672
ENSDARG00000027099	psmc4	proteasome 26S subunit, ATPase 4	326884
ENSDARG00000031198	hmg20a	high mobility group 20A	326908
ENSDARG00000099510	cnn3a	calponin 3, acidic a	326931
ENSDARG00000037291	dpf2l	D4, zinc and double PHD fingers family 2, like	326933
ENSDARG00000025904	tecrb	trans-2,3-enoyl-CoA reductase b	326954
ENSDARG00000099663	cox5ab	cytochrome c oxidase subunit Vab	326962
ENSDARG00000011841	atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	326977
ENSDARG00000018618	cpsf6	cleavage and polyadenylation specific factor 6	327069
ENSDARG00000004046	phf6	PHD finger protein 6	327070
ENSDARG00000006691	rpl12	ribosomal protein L12	327089
ENSDARG00000013670	hyou1	hypoxia up-regulated 1	327133
ENSDARG00000043021	slc26a11	solute carrier family 26 (anion exchanger), member 11	327138
ENSDARG00000010437	fam46c	family with sequence similarity 46, member C	327154
ENSDARG00000057093	kdm5ba	lysine (K)-specific demethylase 5Ba	327168
ENSDARG00000053152	pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	327176
ENSDARG00000003383	asb8	ankyrin repeat and SOCS box containing 8	327200
ENSDARG00000003931	cndp2	CNDP dipeptidase 2 (metallopeptidase M20 family)	327288
ENSDARG00000056985	tpte	transmembrane phosphatase with tensin homology	327292
ENSDARG00000045130	klhl11	kelch-like family member 11	327313
ENSDARG00000102417	psmd7	proteasome 26S subunit, non-ATPase 7	327330
ENSDARG00000041565	tnfaip1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	327399
ENSDARG00000043873	arid4a	AT rich interactive domain 4A (RBP1-like)	327404
ENSDARG00000033707	jade1	jade family PHD finger 1	327437
ENSDARG00000036966	hsd3b7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase	327462
ENSDARG00000079994	wu:fi15d04	wu:fi15d04	327519
ENSDARG00000094709	arl8	ADP-ribosylation factor-like 8	327551
ENSDARG00000036685	ccnt2a	cyclin T2a	327568
ENSDARG00000098296	gnsb	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID), b	327635
ENSDARG00000017294	gnai2b	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2b	327650
ENSDARG00000018953	gclm	glutamate-cysteine ligase, modifier subunit	333974
ENSDARG00000041217	xpo6	exportin 6	333980
ENSDARG00000102802	brdt	bromodomain, testis-specific	333996
ENSDARG00000032469	ampd3b	adenosine monophosphate deaminase 3b	333997
ENSDARG00000074790	c23h20orf24	c23h20orf24 homolog (H. sapiens)	334006
ENSDARG00000077847	olfm2a	olfactomedin 2a	334035
ENSDARG00000023028	cdv3	carnitine deficiency-associated gene expressed in ventricle 3	334102
ENSDARG00000022456	eno1a	enolase 1a, (alpha)	334116
ENSDARG00000015292	ube2g1a	ubiquitin-conjugating enzyme E2G 1a (UBC7 homolog, yeast)	334133
ENSDARG00000039605	mat1a	methionine adenosyltransferase I, alpha	334195
ENSDARG00000018426	aldh7a1	aldehyde dehydrogenase 7 family, member A1	334197
ENSDARG00000060257	zranb1a	zinc finger, RAN-binding domain containing 1a	334230
ENSDARG00000011764	asun	asunder, spermatogenesis regulator homolog (Drosphila)	334292
ENSDARG00000013946	ivns1abpb	influenza virus NS1A binding protein b	334334
ENSDARG00000058566	wu:fi42h12	wu:fi42h12	334358
ENSDARG00000059711	nol6	nucleolar protein 6 (RNA-associated)	334362
ENSDARG00000096095	buc	bucky ball	334375
ENSDARG00000008200	ugp2b	UDP-glucose pyrophosphorylase 2b	334420
ENSDARG00000037872	foxk1	forkhead box K1	334470
ENSDARG00000045513	taf3	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated facto	334474
ENSDARG00000035676	ptp4a2b	protein tyrosine phosphatase type IVA, member 2b	334483
ENSDARG00000004735	hnrnpub	heterogeneous nuclear ribonucleoprotein Ub	334490
ENSDARG00000020449	yipf3	Yip1 domain family, member 3	334511
ENSDARG00000041570	mrpl39	mitochondrial ribosomal protein L39	334588
ENSDARG00000057167	eif4g2b	eukaryotic translation initiation factor 4, gamma 2b	334618
ENSDARG00000074335	boc	BOC cell adhesion associated, oncogene regulated	334628
ENSDARG00000041631	fam192a	family with sequence similarity 192, member A	334752
ENSDARG00000027078	cnppd1	cyclin Pas1/PHO80 domain containing 1	334868
ENSDARG00000057513	mdm4	MDM4, p53 regulator	334932
ENSDARG00000036695	calcoco1a	calcium binding and coiled-coil domain 1a	334971
ENSDARG00000055798	heyl	hes-related family bHLH transcription factor with YRPW motif-like	335134
ENSDARG00000021366	fbp1a	fructose-1,6-bisphosphatase 1a	335231
ENSDARG00000046143	prkab1b	protein kinase, AMP-activated, beta 1 non-catalytic subunit, b	335232
ENSDARG00000022684	fkbp1aa	FK506 binding protein 1Aa	335335
ENSDARG00000059287	mak	male germ cell-associated kinase	335339
ENSDARG00000035890	fuca1.1	fucosidase, alpha-L- 1, tissue, tandem duplicate 1	335494
ENSDARG00000017741	g3bp1	GTPase activating protein (SH3 domain) binding protein 1	335512
ENSDARG00000006316	rpl23a	ribosomal protein L23a	335539
ENSDARG00000019404	atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	335709
ENSDARG00000103849	mdh1ab	malate dehydrogenase 1Ab, NAD (soluble)	335715
ENSDARG00000040485	dfna5b	deafness, autosomal dominant 5 b	335722
ENSDARG00000009724	rpn2	ribophorin II	335985
ENSDARG00000036645	rcbtb1	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1	336007
ENSDARG00000003531	tcea1	transcription elongation factor A (SII), 1	336105
ENSDARG00000033009	h3f3c	H3 histone, family 3C	336231
ENSDARG00000031317	ppdpfb	pancreatic progenitor cell differentiation and proliferation factor b	336303
ENSDARG00000011665	aldoaa	aldolase a, fructose-bisphosphate, a	336425
ENSDARG00000021257	eif3d	eukaryotic translation initiation factor 3, subunit D	336498
ENSDARG00000056378	ifi30	interferon, gamma-inducible protein 30	336503
ENSDARG00000098820	ftr67	finTRIM family, member 67	336567
ENSDARG00000028542	si:ch211-114c12.2	si:ch211-114c12.2	336578
ENSDARG00000035018	thy1	Thy-1 cell surface antigen	336617
ENSDARG00000009350	atg3	autophagy related 3	336632
ENSDARG00000002344	tubb4b	tubulin, beta 4B class IVb	336681
ENSDARG00000025581	rpl10	ribosomal protein L10	336712
ENSDARG00000054312	slc38a6	solute carrier family 38, member 6	336741
ENSDARG00000030537	psmc1a	proteasome 26S subunit, ATPase 1a	336786
ENSDARG00000039345	drg1	developmentally regulated GTP binding protein 1	336823
ENSDARG00000024026	sdf2	stromal cell-derived factor 2	336879
ENSDARG00000030116	susd6	sushi domain containing 6	336888
ENSDARG00000045514	atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	336957
ENSDARG00000105195	dnajc21	DnaJ (Hsp40) homolog, subfamily C, member 21	336984
ENSDARG00000014817	ranbp1	RAN binding protein 1	337046
ENSDARG00000043357	tbl2	transducin (beta)-like 2	337068
ENSDARG00000016470	anxa5b	annexin A5b	337132
ENSDARG00000077297	nbr1	neighbor of brca1 gene 1	337168
ENSDARG00000100742	reep5	receptor accessory protein 5	337237
ENSDARG00000035692	rps3a	ribosomal protein S3A	337240
ENSDARG00000030236	tmem30aa	transmembrane protein 30Aa	337397
ENSDARG00000006915	arl8ba	ADP-ribosylation factor-like 8Ba	337424
ENSDARG00000028976	pus3	pseudouridylate synthase 3	337487
ENSDARG00000076318	atp6v1ab	ATPase, H+ transporting, lysosomal, V1 subunit Ab	337583
ENSDARG00000069763	etv5a	ets variant 5a	337626
ENSDARG00000019881	bsg	basigin	337692
ENSDARG00000018602	rab5aa	RAB5A, member RAS oncogene family, a	337737
ENSDARG00000039830	gng5	guanine nucleotide binding protein (G protein), gamma 5	337838
ENSDARG00000037639	nkx3.2	NK3 homeobox 2	337865
ENSDARG00000006524	supt6h	SPT6 homolog, histone chaperone	337866
ENSDARG00000042835	tfdp2	transcription factor Dp-2	338204
ENSDARG00000016607	echdc2	enoyl CoA hydratase domain containing 2	338247
ENSDARG00000007682	ppdpfa	pancreatic progenitor cell differentiation and proliferation factor a	338304
ENSDARG00000025436	msrb1a	methionine sulfoxide reductase B1a	352916
ENSDARG00000023220	selt2	selenoprotein T, 2	352917
ENSDARG00000088048	fgf18a	fibroblast growth factor 18a	359829
ENSDARG00000061226	timp2a	TIMP metallopeptidase inhibitor 2a	359835
ENSDARG00000037654	pmm2	phosphomannomutase 2	368229
ENSDARG00000004311	ldlrap1a	low density lipoprotein receptor adaptor protein 1a	368278
ENSDARG00000035957	gmnn	geminin, DNA replication inhibitor	368320
ENSDARG00000054271	cdkn1bb	cyclin-dependent kinase inhibitor 1Bb	368329
ENSDARG00000014013	lbr	lamin B receptor	368360
ENSDARG00000000019	ube2h	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	368425
ENSDARG00000001442	inppl1b	inositol polyphosphate phosphatase-like 1b	368433
ENSDARG00000028661	cntfr	ciliary neurotrophic factor receptor	368438
ENSDARG00000001220	mycbp2	MYC binding protein 2	368439
ENSDARG00000000476	pms1	PMS1 homolog 1, mismatch repair system component	368631
ENSDARG00000079605	prmt5	protein arginine methyltransferase 5	368664
ENSDARG00000007989	nedd8	neural precursor cell expressed, developmentally down-regulated 8	368667
ENSDARG00000039578	pa2g4a	proliferation-associated 2G4, a	368737
ENSDARG00000042853	ivd	isovaleryl-CoA dehydrogenase	368775
ENSDARG00000014159	mtdha	metadherin a	368910
ENSDARG00000045367	tuba1b	tubulin, alpha 1b	373080
ENSDARG00000022303	higd1a	HIG1 hypoxia inducible domain family, member 1A	373084
ENSDARG00000003035	hspa9	heat shock protein 9	373085
ENSDARG00000004392	hdr	hematopoietic death receptor	373093
ENSDARG00000008363	mcl1b	myeloid cell leukemia 1b	373102
ENSDARG00000016143	xiap	X-linked inhibitor of apoptosis	373108
ENSDARG00000058088	aifm1	apoptosis-inducing factor, mitochondrion-associated 1	373125
ENSDARG00000051746	cecr1a	cat eye syndrome chromosome region, candidate 1a	373884
ENSDARG00000006603	csrp1a	cysteine and glycine-rich protein 1a	378726
ENSDARG00000012684	atp2b1a	ATPase, Ca++ transporting, plasma membrane 1a	378746
ENSDARG00000037618	ddit4	DNA-damage-inducible transcript 4	378866
ENSDARG00000039211	zgc:77439	zgc:77439	378987
ENSDARG00000003570	hsp90b1	heat shock protein 90, beta (grp94), member 1	386590
ENSDARG00000012899	ddx49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49	386632
ENSDARG00000029075	pfkfb4b	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4b	386663
ENSDARG00000037997	tubb5	tubulin, beta 5	386701
